assignment_id,task_id,artist_id,assigned_hours,assignment_date
TA195,T115,A285,133.26,2026-08-10
TA196,T116,A202,17.0,2026-11-21
TA197,T117,A278,12.0,2026-11-23
TA198,T118,A095,33.0,2026-10-02
TA199,T119,A188,38.0,2026-09-02
TA200,T120,A202,51.0,2026-09-04
TA201,T121,A290,20.0,2026-09-20
TA202,T122,A095,40.0,2026-12-27
TA203,T123,A134,23.0,2026-10-31
TA204,T124,A218,30.0,2027-01-25
TA205,T125,A277,28.0,2027-01-23
TA206,T126,A069,28.0,2027-01-01
TA207,T127,A152,25.0,2026-11-10
TA208,T128,A210,51.0,2026-10-02
TA209,T129,A239,25.0,2026-10-25
TA210,T130,A107,7.0,2026-05-16
TA211,T131,A202,5.0,2026-05-23
TA212,T132,A265,5.0,2026-05-17
TA213,T133,A061,37.51,2026-11-20
TA214,T133,A098,9.49,2026-11-20
TA215,T134,A211,33.78,2026-11-01
TA216,T134,A206,24.22,2026-11-01
TA217,T135,A278,43.0,2026-08-24
TA218,T136,A207,19.0,2026-10-27
TA219,T137,A289,12.0,2026-12-03
TA220,T138,A103,32.57,2026-09-03
TA221,T138,A092,14.43,2026-09-03
TA222,T139,A214,53.0,2026-11-30
TA223,T140,A259,54.0,2026-10-07
TA224,T141,A102,27.0,2026-09-19
TA225,T142,A189,26.0,2026-08-12
TA226,T143,A211,50.7,2026-10-16
TA227,T143,A212,0.3,2026-10-16
TA228,T144,A241,34.86,2026-08-06
TA229,T144,A222,7.14,2026-08-06
TA230,T145,A081,23.0,2026-08-26
TA231,T146,A142,21.66,2026-10-19
TA232,T146,A166,26.34,2026-10-19
TA233,T147,A211,28.0,2026-09-05
TA234,T148,A227,27.0,2026-08-14
TA235,T149,A082,27.72,2026-10-01
TA236,T149,A113,17.28,2026-10-01
TA237,T150,A141,27.0,2026-07-19
TA238,T151,A215,29.0,2026-10-10
TA239,T152,A266,35.0,2026-06-25
TA240,T153,A063,42.0,2026-11-20
TA241,T154,A135,24.58,2026-11-19
TA242,T154,A139,34.42,2026-11-19
TA243,T155,A219,33.0,2026-12-01
TA244,T156,A255,28.0,2026-11-20
TA245,T157,A020,22.78,2026-11-12
TA246,T157,A003,104.22,2026-11-12
TA247,T158,A042,56.74,2026-10-25
TA248,T158,A054,13.26,2026-10-25
TA249,T159,A118,19.57,2026-08-21
TA250,T159,A082,124.87,2026-08-21
TA251,T159,A084,43.56,2026-08-21
TA252,T160,A137,34.56,2026-09-01
TA253,T160,A134,45.44,2026-09-01
TA254,T161,A145,95.0,2026-10-31
TA255,T162,A214,27.88,2026-12-13
TA256,T162,A215,50.12,2026-12-13
TA257,T163,A266,65.0,2027-01-04
TA258,T164,A206,7.0,2026-11-08
TA259,T165,A279,17.0,2026-11-20
TA260,T166,A066,37.0,2026-09-25
TA261,T167,A177,58.0,2026-10-15
TA262,T168,A204,21.51,2026-08-06
TA263,T168,A205,20.49,2026-08-06
TA264,T169,A229,17.59,2026-07-06
TA265,T169,A272,31.41,2026-07-06
TA266,T170,A025,36.8,2026-06-29
TA267,T170,A040,144.2,2026-06-29
TA268,T171,A045,135.39,2026-09-04
TA269,T171,A060,23.61,2026-09-04
TA270,T172,A073,8.09,2026-06-27
TA271,T172,A106,29.33,2026-06-27
TA272,T172,A098,83.58,2026-06-27
TA273,T173,A130,146.18,2026-08-15
TA274,T173,A125,3.91,2026-08-15
TA275,T173,A139,16.52,2026-08-15
TA276,T173,A136,29.4,2026-08-15
TA277,T174,A159,5.09,2026-08-27
TA278,T174,A176,67.91,2026-08-27
TA279,T175,A218,92.0,2026-07-04
TA280,T176,A295,71.17,2026-06-29
TA281,T176,A249,35.57,2026-06-29
TA282,T176,A288,39.26,2026-06-29
TA283,T177,A210,18.0,2026-07-28
TA284,T178,A277,14.0,2026-07-22
TA285,T179,A088,24.0,2026-11-26
TA286,T180,A207,22.0,2026-10-06
TA287,T181,A226,20.0,2026-06-27
TA288,T182,A215,7.0,2027-01-07
TA289,T183,A281,6.0,2026-11-30
TA290,T184,A032,80.25,2026-10-05
TA291,T184,A028,65.75,2026-10-05
TA292,T185,A043,31.56,2026-10-07
TA293,T185,A051,28.27,2026-10-07
TA294,T185,A055,8.14,2026-10-07
TA295,T185,A057,41.03,2026-10-07
TA296,T186,A063,88.84,2026-11-12
TA297,T186,A075,44.35,2026-11-12
TA298,T186,A061,46.81,2026-11-12
TA299,T187,A132,141.29,2026-10-18
TA300,T187,A136,19.71,2026-10-18
TA301,T188,A196,72.0,2026-11-24
TA302,T189,A213,3.94,2026-11-03
TA303,T189,A201,60.06,2026-11-03
TA304,T190,A299,66.14,2026-10-12
TA305,T190,A292,0.86,2026-10-12
TA306,T191,A064,11.0,2026-06-25
TA307,T192,A214,18.0,2026-10-30
TA308,T193,A230,17.0,2026-05-29
TA309,T194,A083,5.0,2026-08-31
TA310,T195,A204,13.0,2026-08-23
TA311,T196,A295,8.0,2026-08-24
TA312,T197,A213,6.0,2026-07-09
TA313,T198,A288,15.0,2026-07-12
TA314,T199,A077,52.0,2026-08-05
TA315,T200,A133,33.91,2026-09-23
TA316,T200,A121,18.09,2026-09-23
TA317,T201,A212,26.0,2026-08-10
TA318,T202,A237,28.0,2026-07-26
TA319,T203,A087,13.0,2026-08-28
TA320,T204,A201,17.0,2026-08-31
TA321,T205,A256,9.0,2026-08-29
TA322,T206,A079,27.0,2026-06-16
TA323,T207,A136,31.0,2026-06-07
TA324,T208,A204,22.24,2026-06-03
TA325,T208,A212,27.76,2026-06-03
TA326,T209,A223,21.0,2026-06-17
TA327,T210,A070,51.0,2026-08-10
TA328,T211,A188,31.0,2026-08-14
TA329,T212,A202,45.0,2026-08-09
TA330,T213,A221,43.0,2026-08-27
TA331,T214,A029,59.55,2026-07-02
TA332,T214,A016,108.08,2026-07-02
TA333,T214,A006,20.37,2026-07-02
TA334,T215,A057,139.3,2026-07-07
TA335,T215,A048,18.7,2026-07-07
TA336,T216,A065,89.6,2026-05-29
TA337,T216,A072,21.4,2026-05-29
TA338,T217,A133,0.82,2026-05-19
TA339,T217,A139,61.18,2026-05-19
TA340,T218,A186,20.72,2026-07-09
TA341,T218,A159,6.97,2026-07-09
TA342,T218,A182,122.31,2026-07-09
TA343,T219,A203,72.0,2026-05-06
TA344,T220,A228,64.0,2026-06-25
TA345,T221,A074,28.0,2026-06-02
TA346,T222,A138,54.0,2026-06-09
TA347,T223,A203,40.0,2026-06-08
TA348,T224,A257,29.0,2026-05-31
TA349,T225,A009,94.24,2026-05-15
TA350,T225,A010,44.06,2026-05-15
TA351,T225,A021,60.7,2026-05-15
TA352,T226,A051,28.33,2026-06-08
TA353,T226,A049,15.24,2026-06-08
TA354,T226,A058,135.43,2026-06-08
TA355,T227,A075,16.31,2026-06-08
TA356,T227,A069,4.24,2026-06-08
TA357,T227,A100,125.44,2026-06-08
TA358,T228,A136,8.37,2026-06-27
TA359,T228,A132,88.11,2026-06-27
TA360,T228,A125,56.52,2026-06-27
TA361,T229,A148,84.0,2026-05-26
TA362,T230,A214,29.06,2026-06-19
TA363,T230,A219,95.94,2026-06-19
TA364,T231,A299,93.0,2026-06-02
TA365,T232,A070,31.0,2026-11-21
TA366,T233,A206,28.04,2026-10-25
TA367,T233,A211,18.96,2026-10-25
TA368,T234,A233,50.0,2027-01-28
TA369,T235,A015,76.72,2026-10-03
TA370,T235,A006,93.28,2026-10-03
TA371,T236,A049,16.07,2026-06-02
TA372,T236,A051,29.49,2026-06-02
TA373,T236,A046,34.65,2026-06-02
TA374,T236,A044,57.78,2026-06-02
TA375,T237,A069,12.61,2026-07-03
TA376,T237,A102,49.67,2026-07-03
TA377,T237,A098,47.47,2026-07-03
TA378,T237,A110,66.25,2026-07-03
TA379,T238,A129,23.68,2026-08-25
TA380,T238,A137,103.52,2026-08-25
TA381,T238,A131,21.8,2026-08-25
TA382,T239,A146,88.7,2026-06-04
TA383,T239,A160,69.12,2026-06-04
TA384,T239,A186,28.18,2026-06-04
TA385,T240,A216,96.94,2026-07-07
TA386,T240,A203,52.06,2026-07-07
TA387,T241,A253,64.0,2026-07-22
TA388,T242,A096,55.0,2026-09-15
TA389,T243,A125,20.0,2026-08-24
TA390,T244,A219,35.0,2026-10-06
TA391,T245,A266,4.71,2026-09-03
TA392,T245,A300,51.29,2026-09-03
TA393,T246,A089,6.0,2026-05-23
TA394,T247,A219,8.0,2026-08-18
TA395,T248,A281,9.0,2026-08-17
TA396,T249,A205,11.0,2026-08-21
TA397,T250,A282,17.0,2026-06-30
TA398,T251,A034,49.43,2026-05-09
TA399,T251,A003,28.57,2026-05-09
TA400,T252,A046,44.32,2026-05-23
TA401,T252,A048,130.49,2026-05-23
TA402,T252,A057,16.19,2026-05-23
TA403,T253,A118,121.98,2026-06-28
TA404,T253,A061,54.02,2026-06-28
TA405,T254,A122,37.89,2026-08-09
TA406,T254,A127,39.7,2026-08-09
TA407,T254,A121,75.38,2026-08-09
TA408,T254,A129,17.03,2026-08-09
TA409,T255,A146,121.07,2026-07-20
TA410,T255,A198,22.93,2026-07-20
TA411,T256,A217,79.47,2026-05-09
TA412,T256,A210,25.53,2026-05-09
TA413,T257,A254,57.25,2026-08-08
TA414,T257,A282,53.75,2026-08-08
TA415,T258,A070,6.0,2026-10-14
TA416,T259,A215,8.0,2026-10-27
TA417,T260,A288,12.0,2026-12-08
TA418,T261,A211,6.0,2026-06-16
TA419,T262,A270,18.0,2026-07-29
TA420,T263,A209,13.0,2027-01-23
TA421,T264,A297,15.0,2026-12-19
TA422,T265,A076,56.0,2026-09-29
TA423,T266,A215,36.0,2026-10-02
TA424,T267,A233,43.0,2026-10-10
TA425,T268,A076,20.0,2026-08-09
TA426,T269,A203,45.0,2026-08-20
TA427,T270,A241,22.0,2026-09-01
TA428,T271,A086,51.0,2026-11-12
TA429,T272,A127,41.59,2026-11-17
TA430,T272,A124,9.41,2026-11-17
TA431,T273,A217,31.0,2026-11-21
TA432,T274,A265,23.0,2026-11-20
TA433,T275,A079,44.67,2027-01-28
TA434,T275,A080,13.33,2027-01-28
TA435,T276,A135,26.0,2027-02-12
TA436,T277,A205,14.94,2026-12-25
TA437,T277,A204,41.06,2026-12-25
TA438,T278,A264,36.0,2027-01-11
TA439,T279,A038,61.23,2026-01-08
TA440,T279,A022,107.77,2026-01-08
TA441,T280,A049,1.79,2026-03-24
TA442,T280,A060,70.07,2026-03-24
TA443,T280,A047,63.13,2026-03-24
TA444,T281,A110,4.91,2026-03-02
TA445,T281,A085,34.03,2026-03-02
TA446,T281,A065,61.06,2026-03-02
TA447,T282,A129,2.55,2026-03-07
TA448,T282,A121,60.41,2026-03-07
TA449,T282,A134,110.04,2026-03-07
TA450,T283,A196,23.33,2026-02-02
TA451,T283,A186,95.67,2026-02-02
TA452,T284,A207,44.45,2026-02-27
TA453,T284,A216,104.62,2026-02-27
TA454,T284,A219,22.93,2026-02-27
TA455,T285,A296,8.87,2026-03-23
TA456,T285,A261,131.13,2026-03-23
TA457,T286,A105,22.0,2026-06-23
TA458,T287,A212,32.0,2026-06-05
TA459,T288,A228,54.91,2026-04-23
TA460,T288,A234,3.09,2026-04-23
TA461,T289,A204,8.0,2026-03-03
TA462,T290,A260,14.0,2026-04-28
TA463,T291,A216,10.0,2026-04-30
TA464,T292,A291,19.0,2026-04-27
TA465,T293,A089,12.0,2026-02-16
TA466,T294,A214,12.0,2026-03-27
TA467,T295,A281,19.0,2026-02-23
TA468,T296,A063,27.0,2026-05-08
TA469,T297,A168,42.0,2026-04-13
TA470,T298,A212,3.37,2026-04-13
TA471,T298,A204,45.63,2026-04-13
TA472,T299,A263,41.0,2026-05-10
TA473,T300,A217,16.0,2026-02-03
TA474,T301,A275,16.0,2026-02-20
TA475,T302,A061,10.0,2026-04-18
TA476,T303,A203,7.0,2026-04-05
TA477,T304,A259,16.0,2026-04-09
TA478,T305,A068,12.0,2026-02-27
TA479,T306,A207,12.0,2026-01-17
TA480,T307,A257,16.0,2026-02-01
TA481,T308,A218,8.0,2026-02-28
TA482,T309,A252,11.0,2026-02-28
TA483,T310,A033,67.45,2026-04-03
TA484,T310,A014,122.15,2026-04-03
TA485,T310,A038,5.4,2026-04-03
TA486,T311,A041,100.1,2026-05-25
TA487,T311,A059,97.9,2026-05-25
TA488,T312,A068,78.68,2026-04-01
TA489,T312,A112,22.62,2026-04-01
TA490,T312,A116,4.6,2026-04-01
TA491,T312,A090,4.1,2026-04-01
TA492,T313,A133,110.66,2026-04-01
TA493,T313,A136,33.39,2026-04-01
TA494,T313,A127,24.95,2026-04-01
TA495,T314,A178,95.0,2026-05-01
TA496,T315,A220,14.43,2026-05-31
TA497,T315,A205,27.18,2026-05-31
TA498,T315,A214,136.52,2026-05-31
TA499,T315,A215,9.87,2026-05-31
TA500,T316,A239,46.8,2026-04-21
TA501,T316,A226,88.3,2026-04-21
TA502,T316,A284,45.9,2026-04-21
TA503,T317,A106,35.0,2026-04-28
TA504,T318,A122,32.0,2026-04-29
TA505,T319,A220,22.0,2026-04-29
TA506,T320,A288,26.0,2026-04-29
TA507,T321,A203,16.0,2026-03-16
TA508,T322,A244,5.0,2026-03-15
TA509,T323,A064,18.0,2026-01-18
TA510,T324,A211,7.0,2026-04-01
TA511,T325,A293,6.0,2026-01-16
TA512,T326,A083,17.0,2026-02-02
TA513,T327,A202,5.0,2026-03-06
TA514,T328,A239,11.0,2026-03-27
TA515,T329,A079,53.0,2026-04-24
TA516,T330,A122,25.0,2026-03-03
TA517,T331,A212,25.0,2026-03-30
TA518,T332,A275,32.0,2026-03-10
TA519,T333,A115,13.0,2026-03-24
TA520,T334,A209,14.0,2026-03-20
TA521,T335,A274,18.0,2026-03-23
TA522,T336,A090,27.92,2026-02-01
TA523,T336,A072,13.08,2026-02-01
TA524,T337,A191,57.0,2026-02-28
TA525,T338,A211,31.0,2026-02-19
TA526,T339,A236,26.0,2026-02-19
TA527,T340,A109,10.83,2026-04-20
TA528,T340,A081,34.17,2026-04-20
TA529,T341,A191,19.81,2026-05-01
TA530,T341,A149,32.19,2026-05-01
TA531,T342,A216,10.23,2026-05-14
TA532,T342,A215,42.77,2026-05-14
TA533,T343,A298,39.88,2026-05-30
TA534,T343,A292,7.12,2026-05-30
TA535,T344,A013,54.19,2026-03-17
TA536,T344,A038,57.69,2026-03-17
TA537,T344,A027,6.0,2026-03-17
TA538,T344,A008,57.12,2026-03-17
TA539,T345,A052,47.72,2026-03-07
TA540,T345,A044,111.28,2026-03-07
TA541,T346,A115,52.44,2026-03-16
TA542,T346,A063,3.02,2026-03-16
TA543,T346,A101,92.54,2026-03-16
TA544,T347,A126,31.85,2026-03-17
TA545,T347,A122,82.15,2026-03-17
TA546,T348,A197,66.0,2026-03-11
TA547,T349,A215,37.31,2026-03-19
TA548,T349,A213,71.49,2026-03-19
TA549,T349,A219,46.27,2026-03-19
TA550,T349,A201,4.93,2026-03-19
TA551,T350,A224,76.0,2026-03-08
TA552,T351,A027,20.88,2026-04-12
TA553,T351,A013,59.45,2026-04-12
TA554,T351,A010,7.89,2026-04-12
TA555,T351,A009,96.77,2026-04-12
TA556,T352,A044,19.93,2026-04-17
TA557,T352,A052,104.94,2026-04-17
TA558,T352,A056,9.13,2026-04-17
TA559,T353,A071,26.84,2026-04-25
TA560,T353,A100,110.27,2026-04-25
TA561,T353,A065,41.89,2026-04-25
TA562,T354,A124,42.5,2026-03-01
TA563,T354,A139,14.49,2026-03-01
TA564,T354,A130,1.24,2026-03-01
TA565,T354,A140,46.78,2026-03-01
TA566,T355,A175,21.52,2026-03-21
TA567,T355,A157,129.31,2026-03-21
TA568,T355,A146,43.17,2026-03-21
TA569,T356,A205,64.0,2026-04-20
TA570,T357,A247,62.0,2026-05-10
TA571,T358,A113,39.96,2026-04-30
TA572,T358,A099,3.04,2026-04-30
TA573,T359,A204,53.0,2026-05-03
TA574,T360,A231,33.0,2026-05-03
TA575,T361,A101,54.96,2026-04-01
TA576,T361,A092,1.04,2026-04-01
TA577,T362,A203,27.0,2026-04-04
TA578,T363,A237,22.0,2026-03-09
TA579,T364,A072,18.0,2026-09-08
TA580,T365,A220,12.0,2026-08-31
TA581,T366,A242,16.0,2026-09-01
TA582,T367,A029,83.0,2026-08-22
TA583,T368,A049,69.19,2026-08-28
TA584,T368,A041,1.81,2026-08-28
TA585,T369,A117,92.48,2026-09-16
TA586,T369,A111,58.52,2026-09-16
TA587,T370,A123,33.08,2026-08-29
TA588,T370,A127,18.63,2026-08-29
TA589,T370,A124,47.16,2026-08-29
TA590,T370,A130,7.13,2026-08-29
TA591,T371,A165,80.94,2026-08-27
TA592,T371,A190,69.11,2026-08-27
TA593,T371,A185,3.95,2026-08-27
TA594,T372,A205,93.0,2026-09-04
TA595,T373,A248,32.82,2026-09-16
TA596,T373,A291,31.59,2026-09-16
TA597,T373,A237,36.23,2026-09-16
TA598,T373,A258,53.36,2026-09-16
TA599,T374,A038,21.84,2026-08-08
TA600,T374,A016,142.16,2026-08-08
TA601,T375,A048,9.82,2026-08-11
TA602,T375,A049,66.18,2026-08-11
TA603,T376,A084,16.05,2026-08-08
TA604,T376,A103,55.84,2026-08-08
TA605,T376,A095,54.12,2026-08-08
TA606,T377,A134,76.35,2026-08-13
TA607,T377,A129,23.65,2026-08-13
TA608,T378,A170,76.97,2026-08-16
TA609,T378,A156,8.03,2026-08-16
TA610,T379,A201,32.05,2026-08-03
TA611,T379,A212,86.95,2026-08-03
TA612,T380,A264,22.76,2026-08-09
TA613,T380,A266,96.02,2026-08-09
TA614,T380,A222,1.21,2026-08-09
TA615,T381,A211,5.0,2026-07-29
TA616,T382,A225,11.0,2026-07-30
TA617,T383,A065,14.0,2026-08-01
TA618,T384,A211,9.0,2026-07-29
TA619,T385,A250,16.0,2026-08-12
TA620,T386,A036,89.6,2026-09-05
TA621,T386,A034,26.4,2026-09-05
TA622,T387,A053,94.0,2026-09-04
TA623,T387,A058,44.75,2026-09-04
TA624,T387,A048,30.25,2026-09-04
TA625,T388,A079,93.0,2026-09-01
TA626,T389,A126,10.12,2026-09-01
TA627,T389,A134,84.49,2026-09-01
TA628,T389,A127,43.39,2026-09-01
TA629,T390,A146,66.0,2026-09-07
TA630,T391,A209,42.64,2026-09-05
TA631,T391,A202,113.81,2026-09-05
TA632,T391,A215,9.1,2026-09-05
TA633,T391,A212,26.45,2026-09-05
TA634,T392,A265,26.14,2026-09-04
TA635,T392,A285,15.17,2026-09-04
TA636,T392,A233,109.95,2026-09-04
TA637,T392,A294,8.73,2026-09-04
TA638,T393,A035,17.36,2026-09-06
TA639,T393,A027,169.64,2026-09-06
TA640,T394,A047,37.79,2026-09-10
TA641,T394,A056,92.7,2026-09-10
TA642,T394,A054,27.51,2026-09-10
TA643,T395,A071,38.9,2026-09-08
TA644,T395,A089,10.59,2026-09-08
TA645,T395,A095,116.5,2026-09-08
TA646,T396,A121,24.53,2026-09-11
TA647,T396,A123,68.47,2026-09-11
TA648,T397,A152,72.0,2026-09-10
TA649,T398,A202,99.0,2026-09-06
TA650,T399,A243,25.12,2026-09-06
TA651,T399,A275,112.88,2026-09-06
TA652,T400,A062,12.0,2026-08-10
TA653,T401,A209,15.0,2026-08-12
TA654,T402,A271,18.0,2026-08-09
TA655,T403,A115,31.0,2026-08-12
TA656,T404,A208,25.0,2026-08-09
TA657,T405,A257,21.0,2026-08-14
TA658,T406,A037,43.82,2026-08-07
TA659,T406,A032,61.45,2026-08-07
TA660,T406,A014,41.73,2026-08-07
TA661,T407,A057,49.9,2026-08-03
TA662,T407,A058,19.95,2026-08-03
TA663,T407,A049,0.31,2026-08-03
TA664,T407,A059,45.84,2026-08-03
