delivery_id,project_id,sequence_id,shot_id,version,delivery_date,client_status,review_days,final_delivery
D044,P001,SQ005,SH133,V001,2026-06-24,Approved,4,True
D045,P001,SQ005,SH134,V001,2026-05-08,Rejected,12,False
D046,P001,SQ005,SH134,V002,2026-05-20,Approved,3,True
D047,P001,SQ005,SH135,V001,2026-06-25,Rejected,5,False
D048,P001,SQ005,SH135,V002,2026-06-30,Rejected,5,False
D049,P001,SQ005,SH135,V003,2026-07-05,Rejected,13,False
D050,P001,SQ005,SH135,V004,2026-07-18,Approved,5,True
D051,P001,SQ005,SH136,V001,2026-03-19,Rejected,14,False
D052,P001,SQ005,SH136,V002,2026-04-02,Rejected,4,False
D053,P001,SQ005,SH136,V003,2026-04-06,Rejected,2,False
D054,P001,SQ005,SH136,V004,2026-04-08,Approved,14,True
D055,P001,SQ005,SH137,V001,2026-04-25,Approved,14,True
D056,P001,SQ005,SH138,V001,2026-05-25,Rejected,10,False
D057,P001,SQ005,SH138,V002,2026-06-04,Rejected,4,False
D058,P001,SQ005,SH138,V003,2026-06-08,Approved,12,True
D059,P001,SQ005,SH139,V001,2026-05-05,Approved,14,True
D060,P001,SQ005,SH140,V001,2026-05-17,Rejected,13,False
D061,P001,SQ005,SH140,V002,2026-05-30,Approved,9,True
D062,P001,SQ005,SH141,V001,2026-04-10,Rejected,12,False
D063,P001,SQ005,SH141,V002,2026-04-22,Rejected,14,False
D064,P001,SQ005,SH141,V003,2026-05-06,Rejected,6,False
D065,P001,SQ005,SH141,V004,2026-05-12,Approved,10,True
D066,P001,SQ005,SH142,V001,2026-06-13,Approved,11,True
D067,P001,SQ005,SH143,V001,2026-04-20,Rejected,14,False
D068,P001,SQ005,SH143,V002,2026-05-04,Rejected,1,False
D069,P001,SQ005,SH143,V003,2026-05-05,Rejected,10,False
D070,P001,SQ005,SH143,V004,2026-05-15,Approved,13,True
D071,P001,SQ005,SH144,V001,2026-04-21,Rejected,1,False
D072,P001,SQ005,SH144,V002,2026-04-22,Approved,12,True
D073,P001,SQ005,SH145,V001,2026-05-02,Rejected,7,False
D074,P001,SQ005,SH145,V002,2026-05-09,Approved,9,True
D075,P001,SQ005,SH146,V001,2026-05-28,Approved,6,True
D076,P001,SQ005,SH147,V001,2026-04-20,Approved,12,True
D077,P001,SQ005,SH148,V001,2026-05-22,Approved,4,True
D078,P001,SQ005,SH149,V001,2026-04-25,Rejected,10,False
D079,P001,SQ005,SH149,V002,2026-05-05,Rejected,5,False
D080,P001,SQ005,SH149,V003,2026-05-10,Approved,3,True
D081,P001,SQ005,SH150,V001,2026-04-04,Approved,12,True
D082,P001,SQ005,SH151,V001,2026-06-03,Rejected,3,False
D083,P001,SQ005,SH151,V002,2026-06-06,Approved,12,True
D084,P001,SQ005,SH152,V001,2026-06-14,Rejected,5,False
D085,P001,SQ005,SH152,V002,2026-06-19,Rejected,6,False
D086,P001,SQ005,SH152,V003,2026-06-25,Rejected,1,False
D087,P001,SQ005,SH152,V004,2026-06-26,Rejected,1,False
D088,P001,SQ005,SH152,V005,2026-06-27,Rejected,4,False
D089,P001,SQ005,SH152,V006,2026-07-01,Approved,6,True
D090,P001,SQ005,SH153,V001,2026-04-12,Rejected,7,False
D091,P001,SQ005,SH153,V002,2026-04-19,Rejected,12,False
D092,P001,SQ005,SH153,V003,2026-05-01,Approved,11,True
D093,P001,SQ005,SH154,V001,2026-03-17,Approved,6,True
D094,P001,SQ005,SH155,V001,2026-04-30,Rejected,12,False
D095,P001,SQ005,SH155,V002,2026-05-12,Approved,2,True
D096,P001,SQ005,SH156,V001,2026-02-21,Rejected,6,False
D097,P001,SQ005,SH156,V002,2026-02-27,Rejected,10,False
D098,P001,SQ005,SH156,V003,2026-03-09,Approved,4,True
D099,P001,SQ005,SH157,V001,2026-05-23,Rejected,1,False
D100,P001,SQ005,SH157,V002,2026-05-24,Rejected,13,False
D101,P001,SQ005,SH157,V003,2026-06-06,Rejected,8,False
D102,P001,SQ005,SH157,V004,2026-06-14,Approved,6,True
D103,P001,SQ005,SH158,V001,2026-05-09,Approved,6,True
D104,P001,SQ005,SH159,V001,2026-06-19,Rejected,5,False
D105,P001,SQ005,SH159,V002,2026-06-24,Rejected,1,False
D106,P001,SQ005,SH159,V003,2026-06-25,Approved,8,True
D107,P001,SQ005,SH160,V001,2026-04-12,Approved,4,True
D108,P001,SQ005,SH161,V001,2026-06-10,Rejected,5,False
D109,P001,SQ005,SH161,V002,2026-06-15,Rejected,12,False
D110,P001,SQ005,SH161,V003,2026-06-27,Approved,2,True
D111,P001,SQ005,SH162,V001,2026-06-03,Approved,11,True
D112,P001,SQ005,SH163,V001,2026-04-12,Approved,9,True
D113,P001,SQ007,SH180,V001,2026-05-24,Rejected,2,False
D114,P001,SQ007,SH180,V002,2026-05-26,Approved,9,True
D115,P001,SQ007,SH181,V001,2026-04-23,Rejected,14,False
D116,P001,SQ007,SH181,V002,2026-05-07,Rejected,3,False
D117,P001,SQ007,SH181,V003,2026-05-10,Rejected,7,False
D118,P001,SQ007,SH181,V004,2026-05-17,Rejected,12,False
D119,P001,SQ007,SH181,V005,2026-05-29,Approved,14,True
D120,P001,SQ007,SH182,V001,2026-05-28,Approved,3,True
D121,P001,SQ007,SH183,V001,2026-04-11,Rejected,10,False
D122,P001,SQ007,SH183,V002,2026-04-21,Rejected,9,False
D123,P001,SQ007,SH183,V003,2026-04-30,Rejected,7,False
D124,P001,SQ007,SH183,V004,2026-05-07,Approved,14,True
D125,P001,SQ007,SH184,V001,2026-05-09,Rejected,13,False
D126,P001,SQ007,SH184,V002,2026-05-22,Rejected,6,False
D127,P001,SQ007,SH184,V003,2026-05-28,Approved,14,True
D128,P001,SQ007,SH185,V001,2026-05-18,Rejected,7,False
D129,P001,SQ007,SH185,V002,2026-05-25,Approved,6,True
D130,P001,SQ007,SH186,V001,2026-05-13,Approved,1,True
D131,P001,SQ007,SH188,V001,2026-06-22,Rejected,9,False
D132,P001,SQ007,SH188,V002,2026-07-01,Approved,9,True
D133,P001,SQ007,SH190,V001,2026-06-14,Rejected,8,False
D134,P001,SQ007,SH190,V002,2026-06-22,Approved,13,True
D135,P001,SQ011,SH239,V001,2026-05-13,Rejected,3,False
D136,P001,SQ011,SH239,V002,2026-05-16,Approved,13,True
D137,P001,SQ011,SH240,V001,2026-05-04,Rejected,2,False
D138,P001,SQ011,SH240,V002,2026-05-06,Approved,8,True
D139,P001,SQ011,SH241,V001,2026-05-10,Rejected,7,False
D140,P001,SQ011,SH241,V002,2026-05-17,Rejected,4,False
D141,P001,SQ011,SH241,V003,2026-05-21,Rejected,5,False
D142,P001,SQ011,SH241,V004,2026-05-26,Rejected,4,False
D143,P001,SQ011,SH241,V005,2026-05-30,Approved,6,True
D144,P001,SQ011,SH242,V001,2026-06-15,Rejected,11,False
D145,P001,SQ011,SH242,V002,2026-06-26,Approved,11,True
D146,P001,SQ011,SH243,V001,2026-05-05,Approved,2,True
D147,P001,SQ011,SH244,V001,2026-05-29,Rejected,9,False
D148,P001,SQ011,SH244,V002,2026-06-07,Rejected,8,False
D149,P001,SQ011,SH244,V003,2026-06-15,Rejected,11,False
D150,P001,SQ011,SH244,V004,2026-06-26,Approved,7,True
D151,P001,SQ011,SH245,V001,2026-05-02,Rejected,7,False
D152,P001,SQ011,SH245,V002,2026-05-09,Rejected,11,False
D153,P001,SQ011,SH245,V003,2026-05-20,Approved,8,True
D154,P001,SQ011,SH246,V001,2026-05-29,Rejected,2,False
D155,P001,SQ011,SH246,V002,2026-05-31,Rejected,4,False
D156,P001,SQ011,SH246,V003,2026-06-04,Approved,10,True
D157,P001,SQ011,SH247,V001,2026-06-18,Rejected,7,False
D158,P001,SQ011,SH247,V002,2026-06-25,Rejected,7,False
D159,P001,SQ011,SH247,V003,2026-07-02,Rejected,5,False
D160,P001,SQ011,SH247,V004,2026-07-07,Rejected,7,False
D161,P001,SQ011,SH247,V005,2026-07-14,Rejected,6,False
D162,P001,SQ011,SH247,V006,2026-07-20,Approved,13,True
D163,P001,SQ011,SH248,V001,2026-05-16,Approved,10,True
D164,P001,SQ011,SH249,V001,2026-06-19,Approved,5,True
D165,P001,SQ011,SH250,V001,2026-04-15,Approved,7,True
D166,P001,SQ011,SH251,V001,2026-05-14,Approved,4,True
D167,P001,SQ011,SH252,V001,2026-06-15,Rejected,10,False
D168,P001,SQ011,SH252,V002,2026-06-25,Approved,4,True
D169,P001,SQ011,SH253,V001,2026-05-16,Rejected,10,False
D170,P001,SQ011,SH253,V002,2026-05-26,Rejected,5,False
D171,P001,SQ011,SH253,V003,2026-05-31,Approved,2,True
D172,P001,SQ011,SH254,V001,2026-04-28,Approved,14,True
D173,P001,SQ011,SH255,V001,2026-06-09,Rejected,3,False
D174,P001,SQ011,SH255,V002,2026-06-12,Rejected,4,False
D175,P001,SQ011,SH255,V003,2026-06-16,Approved,3,True
D176,P001,SQ011,SH256,V001,2026-06-12,Rejected,12,False
D177,P001,SQ011,SH256,V002,2026-06-24,Approved,3,True
D178,P001,SQ011,SH257,V001,2026-06-14,Rejected,4,False
D179,P001,SQ011,SH257,V002,2026-06-18,Approved,1,True
D180,P001,SQ011,SH258,V001,2026-05-05,Approved,9,True
D181,P001,SQ011,SH259,V001,2026-06-09,Rejected,11,False
D182,P001,SQ011,SH259,V002,2026-06-20,Approved,9,True
D183,P001,SQ011,SH260,V001,2026-05-10,Rejected,10,False
D184,P001,SQ011,SH260,V002,2026-05-20,Approved,2,True
D185,P001,SQ011,SH261,V001,2026-05-04,Rejected,5,False
D186,P001,SQ011,SH261,V002,2026-05-09,Approved,12,True
D187,P001,SQ011,SH262,V001,2026-05-19,Approved,3,True
D188,P001,SQ011,SH263,V001,2026-05-26,Rejected,12,False
D189,P001,SQ011,SH263,V002,2026-06-07,Approved,13,True
D190,P001,SQ011,SH264,V001,2026-05-29,Approved,7,True
D191,P001,SQ011,SH265,V001,2026-06-06,Approved,14,True
D192,P001,SQ011,SH266,V001,2026-04-27,Rejected,5,False
D193,P001,SQ011,SH266,V002,2026-05-02,Approved,3,True
D194,P001,SQ011,SH267,V001,2026-06-01,Rejected,7,False
D195,P001,SQ011,SH267,V002,2026-06-08,Rejected,13,False
D196,P001,SQ011,SH267,V003,2026-06-21,Approved,13,True
D197,P001,SQ011,SH268,V001,2026-05-30,Rejected,14,False
D198,P001,SQ011,SH268,V002,2026-06-13,Approved,9,True
D199,P001,SQ011,SH269,V001,2026-04-23,Approved,13,True
D200,P001,SQ011,SH270,V001,2026-04-14,Rejected,11,False
D201,P001,SQ011,SH270,V002,2026-04-25,Approved,6,True
D202,P001,SQ011,SH271,V001,2026-05-04,Rejected,4,False
D203,P001,SQ011,SH271,V002,2026-05-08,Approved,14,True
D204,P001,SQ011,SH272,V001,2026-05-27,Rejected,6,False
D205,P001,SQ011,SH272,V002,2026-06-02,Approved,12,True
D206,P001,SQ011,SH273,V001,2026-06-13,Rejected,6,False
D207,P001,SQ011,SH273,V002,2026-06-19,Approved,14,True
D208,P001,SQ011,SH274,V001,2026-05-20,Rejected,14,False
D209,P001,SQ011,SH274,V002,2026-06-03,Rejected,12,False
D210,P001,SQ011,SH274,V003,2026-06-15,Rejected,13,False
D211,P001,SQ011,SH274,V004,2026-06-28,Rejected,9,False
D212,P001,SQ011,SH274,V005,2026-07-07,Rejected,14,False
D213,P001,SQ011,SH274,V006,2026-07-21,Approved,13,True
D214,P001,SQ011,SH275,V001,2026-05-25,Approved,1,True
D215,P001,SQ011,SH276,V001,2026-06-14,Approved,6,True
D216,P001,SQ011,SH277,V001,2026-06-19,Rejected,2,False
D217,P001,SQ011,SH277,V002,2026-06-21,Rejected,5,False
D218,P001,SQ011,SH277,V003,2026-06-26,Approved,8,True
D219,P001,SQ014,SH312,V001,2026-03-07,Rejected,2,False
D220,P001,SQ014,SH312,V002,2026-03-09,Approved,13,True
D221,P001,SQ014,SH313,V001,2026-03-21,Rejected,3,False
D222,P001,SQ014,SH313,V002,2026-03-24,Approved,10,True
D223,P001,SQ014,SH314,V001,2026-06-23,Approved,12,True
D224,P001,SQ014,SH315,V001,2026-03-21,Approved,7,True
D225,P001,SQ014,SH317,V001,2026-04-22,Rejected,12,False
D226,P001,SQ014,SH317,V002,2026-05-04,Rejected,4,False
D227,P001,SQ014,SH317,V003,2026-05-08,Rejected,12,False
D228,P001,SQ014,SH317,V004,2026-05-20,Approved,13,True
D229,P001,SQ014,SH318,V001,2026-06-07,Rejected,2,False
D230,P001,SQ014,SH318,V002,2026-06-09,Approved,1,True
D231,P001,SQ014,SH319,V001,2026-03-13,Rejected,9,False
D232,P001,SQ014,SH319,V002,2026-03-22,Approved,9,True
D233,P001,SQ014,SH320,V001,2026-02-03,Rejected,8,False
D234,P001,SQ014,SH320,V002,2026-02-11,Approved,9,True
D235,P001,SQ015,SH326,V001,2026-02-27,Rejected,11,False
D236,P001,SQ015,SH326,V002,2026-03-10,Rejected,5,False
D237,P001,SQ015,SH326,V003,2026-03-15,Rejected,11,False
D238,P001,SQ015,SH326,V004,2026-03-26,Approved,2,True
D239,P001,SQ015,SH328,V001,2026-02-22,Rejected,14,False
D240,P001,SQ015,SH328,V002,2026-03-08,Approved,13,True
D241,P001,SQ015,SH329,V001,2026-05-29,Rejected,6,False
D242,P001,SQ015,SH329,V002,2026-06-04,Approved,8,True
D243,P001,SQ015,SH340,V001,2026-01-27,Rejected,9,False
D244,P001,SQ015,SH340,V002,2026-02-05,Approved,8,True
D245,P001,SQ016,SH345,V001,2026-05-07,Rejected,3,False
D246,P001,SQ016,SH345,V002,2026-05-10,Approved,1,True
D247,P001,SQ016,SH349,V001,2026-01-21,Approved,1,True
D248,P001,SQ016,SH353,V001,2026-04-16,Approved,8,True
D249,P001,SQ016,SH354,V001,2026-06-04,Rejected,6,False
D250,P001,SQ016,SH354,V002,2026-06-10,Rejected,12,False
D251,P001,SQ016,SH354,V003,2026-06-22,Rejected,5,False
D252,P001,SQ016,SH354,V004,2026-06-27,Approved,11,True
D253,P001,SQ016,SH361,V001,2026-04-25,Rejected,1,False
D254,P001,SQ016,SH361,V002,2026-04-26,Approved,11,True
D255,P001,SQ016,SH362,V001,2026-06-15,Rejected,12,False
D256,P001,SQ016,SH362,V002,2026-06-27,Approved,2,True
D257,P001,SQ016,SH363,V001,2026-05-28,Rejected,10,False
D258,P001,SQ016,SH363,V002,2026-06-07,Approved,12,True
D259,P001,SQ016,SH367,V001,2026-03-01,Approved,10,True
D260,P001,SQ016,SH373,V001,2026-06-12,Approved,1,True
D261,P001,SQ016,SH379,V001,2026-04-14,Rejected,5,False
D262,P001,SQ016,SH379,V002,2026-04-19,Rejected,13,False
D263,P001,SQ016,SH379,V003,2026-05-02,Rejected,4,False
D264,P001,SQ016,SH379,V004,2026-05-06,Approved,4,True
D265,P001,SQ016,SH383,V001,2026-05-19,Rejected,12,False
D266,P001,SQ016,SH383,V002,2026-05-31,Approved,2,True
D267,P001,SQ016,SH385,V001,2026-06-10,Rejected,14,False
D268,P001,SQ016,SH385,V002,2026-06-24,Approved,9,True
D269,P001,SQ016,SH397,V001,2026-04-22,Approved,6,True
D270,P001,SQ016,SH398,V001,2026-06-19,Approved,6,True
D271,P001,SQ016,SH401,V001,2026-06-26,Approved,2,True
D272,P001,SQ016,SH408,V001,2026-06-17,Rejected,9,False
D273,P001,SQ016,SH408,V002,2026-06-26,Approved,6,True
D274,P001,SQ016,SH412,V001,2026-06-28,Approved,12,True
D275,P001,SQ016,SH416,V001,2026-06-23,Approved,6,True
D276,P001,SQ016,SH419,V001,2026-03-10,Rejected,5,False
D277,P001,SQ016,SH419,V002,2026-03-15,Approved,13,True
D278,P001,SQ016,SH420,V001,2026-03-31,Approved,13,True
D279,P001,SQ016,SH423,V001,2026-05-26,Rejected,3,False
D280,P001,SQ016,SH423,V002,2026-05-29,Approved,14,True
D281,P001,SQ016,SH428,V001,2026-06-21,Approved,14,True
D282,P001,SQ016,SH432,V001,2026-04-25,Rejected,11,False
D283,P001,SQ016,SH432,V002,2026-05-06,Approved,2,True
D284,P001,SQ017,SH434,V001,2026-05-18,Rejected,1,False
D285,P001,SQ017,SH434,V002,2026-05-19,Approved,5,True
D286,P001,SQ017,SH439,V001,2026-06-01,Approved,8,True
D287,P001,SQ017,SH440,V001,2026-05-12,Rejected,6,False
D288,P001,SQ017,SH440,V002,2026-05-18,Approved,12,True
D289,P001,SQ017,SH446,V001,2026-06-26,Approved,5,True
D290,P001,SQ017,SH455,V001,2026-04-06,Rejected,3,False
D291,P001,SQ017,SH455,V002,2026-04-09,Rejected,9,False
D292,P001,SQ017,SH455,V003,2026-04-18,Rejected,14,False
D293,P001,SQ017,SH455,V004,2026-05-02,Approved,7,True
D294,P001,SQ017,SH464,V001,2026-06-06,Rejected,13,False
D295,P001,SQ017,SH464,V002,2026-06-19,Approved,1,True
D296,P001,SQ017,SH470,V001,2026-06-08,Rejected,9,False
D297,P001,SQ017,SH470,V002,2026-06-17,Approved,10,True
D298,P001,SQ017,SH474,V001,2026-05-03,Rejected,1,False
D299,P001,SQ017,SH474,V002,2026-05-04,Approved,11,True
D300,P001,SQ017,SH491,V001,2026-05-04,Rejected,5,False
D301,P001,SQ017,SH491,V002,2026-05-09,Rejected,2,False
D302,P001,SQ017,SH491,V003,2026-05-11,Rejected,13,False
D303,P001,SQ017,SH491,V004,2026-05-24,Approved,10,True
D304,P001,SQ017,SH500,V001,2026-06-01,Approved,4,True
D305,P001,SQ017,SH506,V001,2026-05-28,Rejected,2,False
D306,P001,SQ017,SH506,V002,2026-05-30,Rejected,10,False
D307,P001,SQ017,SH506,V003,2026-06-09,Rejected,8,False
D308,P001,SQ017,SH506,V004,2026-06-17,Rejected,4,False
D309,P001,SQ017,SH506,V005,2026-06-21,Rejected,10,False
D310,P001,SQ017,SH506,V006,2026-07-01,Approved,6,True
D311,P001,SQ017,SH507,V001,2026-06-23,Approved,5,True
D312,P001,SQ018,SH510,V001,2025-11-18,Rejected,11,False
D313,P001,SQ018,SH510,V002,2025-11-29,Approved,4,True
D314,P001,SQ018,SH511,V001,2025-10-27,Rejected,13,False
D315,P001,SQ018,SH511,V002,2025-11-09,Approved,9,True
D316,P001,SQ018,SH512,V001,2025-11-10,Rejected,8,False
D317,P001,SQ018,SH512,V002,2025-11-18,Rejected,7,False
D318,P001,SQ018,SH512,V003,2025-11-25,Rejected,10,False
D319,P001,SQ018,SH512,V004,2025-12-05,Approved,11,True
D320,P001,SQ018,SH513,V001,2025-11-04,Rejected,7,False
D321,P001,SQ018,SH513,V002,2025-11-11,Rejected,12,False
D322,P001,SQ018,SH513,V003,2025-11-23,Approved,13,True
D323,P001,SQ018,SH514,V001,2025-10-17,Rejected,13,False
D324,P001,SQ018,SH514,V002,2025-10-30,Rejected,4,False
D325,P001,SQ018,SH514,V003,2025-11-03,Rejected,12,False
D326,P001,SQ018,SH514,V004,2025-11-15,Approved,9,True
D327,P001,SQ018,SH515,V001,2025-11-10,Approved,2,True
D328,P001,SQ018,SH516,V001,2025-11-10,Rejected,14,False
D329,P001,SQ018,SH516,V002,2025-11-24,Approved,13,True
D330,P001,SQ018,SH517,V001,2025-11-12,Approved,12,True
D331,P001,SQ018,SH518,V001,2025-11-06,Rejected,13,False
D332,P001,SQ018,SH518,V002,2025-11-19,Rejected,12,False
D333,P001,SQ018,SH518,V003,2025-12-01,Rejected,10,False
D334,P001,SQ018,SH518,V004,2025-12-11,Approved,6,True
D335,P001,SQ018,SH519,V001,2025-10-18,Rejected,13,False
D336,P001,SQ018,SH519,V002,2025-10-31,Rejected,8,False
D337,P001,SQ018,SH519,V003,2025-11-08,Rejected,5,False
D338,P001,SQ018,SH519,V004,2025-11-13,Rejected,8,False
D339,P001,SQ018,SH519,V005,2025-11-21,Rejected,10,False
D340,P001,SQ018,SH519,V006,2025-12-01,Approved,14,True
D341,P001,SQ018,SH520,V001,2025-10-20,Rejected,9,False
D342,P001,SQ018,SH520,V002,2025-10-29,Rejected,7,False
D343,P001,SQ018,SH520,V003,2025-11-05,Approved,3,True
D344,P001,SQ018,SH521,V001,2025-10-26,Approved,14,True
D345,P001,SQ018,SH522,V001,2025-10-27,Rejected,9,False
D346,P001,SQ018,SH522,V002,2025-11-05,Approved,8,True
D347,P001,SQ019,SH524,V001,2025-12-23,Rejected,1,False
D348,P001,SQ019,SH524,V002,2025-12-24,Approved,2,True
D349,P001,SQ019,SH526,V001,2026-04-29,Rejected,2,False
D350,P001,SQ019,SH526,V002,2026-05-01,Approved,11,True
D351,P001,SQ019,SH527,V001,2026-06-25,Rejected,2,False
D352,P001,SQ019,SH527,V002,2026-06-27,Approved,6,True
D353,P001,SQ019,SH530,V001,2026-02-09,Rejected,6,False
D354,P001,SQ019,SH530,V002,2026-02-15,Approved,12,True
D355,P001,SQ020,SH532,V001,2026-03-09,Rejected,13,False
D356,P001,SQ020,SH532,V002,2026-03-22,Rejected,3,False
D357,P001,SQ020,SH532,V003,2026-03-25,Rejected,3,False
D358,P001,SQ020,SH532,V004,2026-03-28,Approved,12,True
D359,P001,SQ020,SH533,V001,2026-01-02,Approved,9,True
D360,P001,SQ020,SH534,V001,2026-02-23,Rejected,8,False
D361,P001,SQ020,SH534,V002,2026-03-03,Approved,6,True
D362,P001,SQ020,SH535,V001,2026-02-10,Approved,10,True
D363,P001,SQ020,SH536,V001,2026-02-02,Approved,8,True
D364,P001,SQ020,SH537,V001,2026-02-12,Rejected,6,False
D365,P001,SQ020,SH537,V002,2026-02-18,Approved,10,True
D366,P002,SQ021,SH538,V001,2024-04-26,Rejected,3,False
D367,P002,SQ021,SH538,V002,2024-04-29,Approved,7,True
D368,P002,SQ021,SH539,V001,2024-02-04,Rejected,14,False
D369,P002,SQ021,SH539,V002,2024-02-18,Rejected,11,False
D370,P002,SQ021,SH539,V003,2024-02-29,Approved,1,True
D371,P002,SQ021,SH540,V001,2024-02-06,Rejected,5,False
D372,P002,SQ021,SH540,V002,2024-02-11,Rejected,2,False
D373,P002,SQ021,SH540,V003,2024-02-13,Rejected,13,False
D374,P002,SQ021,SH540,V004,2024-02-26,Approved,6,True
D375,P002,SQ021,SH541,V001,2024-03-17,Rejected,10,False
D376,P002,SQ021,SH541,V002,2024-03-27,Approved,5,True
D377,P002,SQ021,SH542,V001,2024-05-21,Rejected,7,False
D378,P002,SQ021,SH542,V002,2024-05-28,Rejected,1,False
D379,P002,SQ021,SH542,V003,2024-05-29,Approved,12,True
D380,P002,SQ021,SH543,V001,2024-05-15,Approved,8,True
D381,P002,SQ021,SH544,V001,2024-03-06,Rejected,3,False
D382,P002,SQ021,SH544,V002,2024-03-09,Approved,8,True
D383,P002,SQ021,SH545,V001,2024-04-28,Rejected,10,False
D384,P002,SQ021,SH545,V002,2024-05-08,Rejected,12,False
D385,P002,SQ021,SH545,V003,2024-05-20,Rejected,9,False
D386,P002,SQ021,SH545,V004,2024-05-29,Rejected,9,False
D387,P002,SQ021,SH545,V005,2024-06-07,Rejected,10,False
D388,P002,SQ021,SH545,V006,2024-06-17,Approved,6,True
D389,P002,SQ021,SH546,V001,2024-05-19,Rejected,8,False
D390,P002,SQ021,SH546,V002,2024-05-27,Approved,1,True
D391,P002,SQ021,SH547,V001,2024-04-08,Rejected,13,False
D392,P002,SQ021,SH547,V002,2024-04-21,Rejected,6,False
D393,P002,SQ021,SH547,V003,2024-04-27,Rejected,8,False
D394,P002,SQ021,SH547,V004,2024-05-05,Approved,6,True
D395,P002,SQ021,SH548,V001,2024-05-25,Rejected,3,False
D396,P002,SQ021,SH548,V002,2024-05-28,Rejected,14,False
D397,P002,SQ021,SH548,V003,2024-06-11,Approved,8,True
D398,P002,SQ022,SH549,V001,2024-01-30,Approved,7,True
D399,P002,SQ022,SH550,V001,2024-01-24,Rejected,1,False
D400,P002,SQ022,SH550,V002,2024-01-25,Rejected,2,False
D401,P002,SQ022,SH550,V003,2024-01-27,Approved,1,True
D402,P002,SQ022,SH551,V001,2024-01-31,Approved,14,True
D403,P002,SQ022,SH552,V001,2024-02-04,Approved,2,True
D404,P002,SQ022,SH553,V001,2024-03-07,Rejected,11,False
D405,P002,SQ022,SH553,V002,2024-03-18,Rejected,14,False
D406,P002,SQ022,SH553,V003,2024-04-01,Approved,9,True
D407,P002,SQ022,SH554,V001,2024-03-08,Rejected,12,False
D408,P002,SQ022,SH554,V002,2024-03-20,Approved,13,True
D409,P002,SQ022,SH555,V001,2024-02-10,Rejected,9,False
D410,P002,SQ022,SH555,V002,2024-02-19,Rejected,5,False
D411,P002,SQ022,SH555,V003,2024-02-24,Rejected,10,False
D412,P002,SQ022,SH555,V004,2024-03-05,Approved,1,True
D413,P002,SQ022,SH556,V001,2024-01-28,Rejected,3,False
D414,P002,SQ022,SH556,V002,2024-01-31,Approved,5,True
