render_id,project_id,sequence_id,shot_id,frame_count,render_engine,render_status,render_hours,submission_date,completion_date
R074,P001,SQ005,SH150,281,Arnold,Success,23.57,2026-03-24,2026-03-24
R075,P001,SQ005,SH151,462,Arnold,Success,79.3,2026-02-07,2026-02-10
R076,P001,SQ005,SH152,500,V-Ray,Success,90.12,2026-03-26,2026-03-29
R077,P001,SQ005,SH152,500,V-Ray,Success,96.61,2026-03-16,2026-03-20
R078,P001,SQ005,SH152,500,V-Ray,Success,70.67,2026-03-24,2026-03-26
R079,P001,SQ005,SH153,465,RenderMan,Success,51.17,2026-02-12,2026-02-14
R080,P001,SQ005,SH153,465,Arnold,Success,72.28,2026-02-16,2026-02-19
R081,P001,SQ005,SH154,48,Arnold,Success,1.94,2026-02-13,2026-02-13
R082,P001,SQ005,SH155,80,RenderMan,Success,3.24,2026-02-26,2026-02-26
R083,P001,SQ005,SH155,80,Arnold,Success,3.12,2026-03-09,2026-03-09
R084,P001,SQ005,SH155,80,Arnold,Success,2.88,2026-03-01,2026-03-01
R085,P001,SQ005,SH156,870,Arnold,Success,161.18,2026-01-31,2026-02-06
R086,P001,SQ005,SH156,870,Arnold,Success,171.48,2026-01-24,2026-01-31
R087,P001,SQ005,SH156,870,V-Ray,Failed,93.96,2026-01-31,2026-02-03
R088,P001,SQ005,SH157,991,RenderMan,Success,215.1,2026-03-24,2026-04-01
R089,P001,SQ005,SH158,79,RenderMan,Success,2.3,2026-01-26,2026-01-26
R090,P001,SQ005,SH158,79,Arnold,Success,3.91,2026-01-26,2026-01-26
R091,P001,SQ005,SH159,253,Arnold,Success,13.22,2026-03-08,2026-03-08
R092,P001,SQ005,SH159,253,Arnold,Success,17.33,2026-03-15,2026-03-15
R093,P001,SQ005,SH160,182,RenderMan,Success,15.32,2026-02-25,2026-02-25
R094,P001,SQ005,SH161,132,Arnold,Success,7.45,2026-03-17,2026-03-17
R095,P001,SQ005,SH161,132,Arnold,Success,12.97,2026-03-19,2026-03-19
R096,P001,SQ005,SH161,132,Arnold,Failed,13.1,2026-03-23,2026-03-23
R097,P001,SQ005,SH162,59,Arnold,Success,2.32,2026-01-22,2026-01-22
R098,P001,SQ005,SH162,59,Arnold,Success,2.8,2026-01-31,2026-01-31
R099,P001,SQ005,SH163,113,Arnold,Failed,3.23,2026-03-20,2026-03-20
R100,P001,SQ007,SH180,85,RenderMan,Success,2.32,2026-05-08,2026-05-08
R101,P001,SQ007,SH181,698,Arnold,Success,171.93,2026-03-29,2026-04-05
R102,P001,SQ007,SH182,259,Arnold,Success,25.45,2026-04-29,2026-04-30
R103,P001,SQ007,SH183,178,V-Ray,Failed,11.42,2026-03-14,2026-03-14
R104,P001,SQ007,SH183,178,V-Ray,Success,14.88,2026-03-13,2026-03-13
R105,P001,SQ007,SH183,178,Arnold,Success,14.05,2026-03-08,2026-03-08
R106,P001,SQ007,SH184,241,Arnold,Success,22.7,2026-03-23,2026-03-23
R107,P001,SQ007,SH184,241,Arnold,Success,15.4,2026-03-26,2026-03-26
R108,P001,SQ007,SH185,98,Arnold,Success,2.95,2026-04-03,2026-04-03
R109,P001,SQ007,SH185,98,Arnold,Success,3.36,2026-04-04,2026-04-04
R110,P001,SQ007,SH186,237,V-Ray,Success,17.96,2026-04-13,2026-04-13
R111,P001,SQ007,SH186,237,V-Ray,Success,17.63,2026-04-15,2026-04-15
R112,P001,SQ007,SH188,168,RenderMan,Success,12.1,2026-04-17,2026-04-17
R113,P001,SQ007,SH188,168,RenderMan,Success,14.0,2026-04-16,2026-04-16
R114,P001,SQ007,SH188,168,RenderMan,Failed,10.53,2026-04-23,2026-04-23
R115,P001,SQ007,SH190,726,Arnold,Success,156.89,2026-03-26,2026-04-01
R116,P001,SQ011,SH239,53,V-Ray,Failed,2.27,2026-05-10,2026-05-10
R117,P001,SQ011,SH240,47,Arnold,Success,1.11,2026-04-07,2026-04-07
R118,P001,SQ011,SH241,868,V-Ray,Success,143.1,2026-04-27,2026-05-02
R119,P001,SQ011,SH241,868,Arnold,Success,213.2,2026-04-22,2026-04-30
R120,P001,SQ011,SH241,868,Arnold,Success,151.78,2026-04-14,2026-04-20
R121,P001,SQ011,SH242,740,RenderMan,Success,141.34,2026-05-06,2026-05-11
R122,P001,SQ011,SH243,57,V-Ray,Success,2.0,2026-04-25,2026-04-25
R123,P001,SQ011,SH244,964,V-Ray,Success,159.98,2026-04-06,2026-04-12
R124,P001,SQ011,SH244,964,V-Ray,Success,189.07,2026-04-01,2026-04-08
R125,P001,SQ011,SH244,964,Arnold,Success,230.49,2026-03-31,2026-04-09
R126,P001,SQ011,SH245,151,Arnold,Success,9.47,2026-05-03,2026-05-03
R127,P001,SQ011,SH246,258,Arnold,Success,25.08,2026-04-26,2026-04-27
R128,P001,SQ011,SH247,979,Arnold,Success,145.04,2026-04-26,2026-05-02
R129,P001,SQ011,SH248,89,RenderMan,Success,3.46,2026-04-26,2026-04-26
R130,P001,SQ011,SH248,89,Arnold,Success,4.19,2026-05-04,2026-05-04
R131,P001,SQ011,SH249,182,Arnold,Success,14.44,2026-05-01,2026-05-01
R132,P001,SQ011,SH249,182,Arnold,Success,9.31,2026-05-02,2026-05-02
R133,P001,SQ011,SH249,182,Arnold,Success,17.72,2026-04-23,2026-04-23
R134,P001,SQ011,SH250,115,RenderMan,Success,5.72,2026-04-02,2026-04-02
R135,P001,SQ011,SH251,216,Arnold,Success,21.33,2026-04-01,2026-04-01
R136,P001,SQ011,SH251,216,Arnold,Failed,18.49,2026-03-25,2026-03-25
R137,P001,SQ011,SH252,93,Arnold,Success,4.63,2026-04-22,2026-04-22
R138,P001,SQ011,SH252,93,Arnold,Success,3.74,2026-05-04,2026-05-04
R139,P001,SQ011,SH252,93,Arnold,Success,2.94,2026-05-06,2026-05-06
R140,P001,SQ011,SH253,291,RenderMan,Success,16.3,2026-05-07,2026-05-07
R141,P001,SQ011,SH253,291,V-Ray,Success,19.64,2026-04-28,2026-04-28
R142,P001,SQ011,SH254,231,Arnold,Success,12.65,2026-04-22,2026-04-22
R143,P001,SQ011,SH254,231,Arnold,Success,16.04,2026-04-18,2026-04-18
R144,P001,SQ011,SH254,231,RenderMan,Success,21.71,2026-04-28,2026-04-28
R145,P001,SQ011,SH255,231,Arnold,Success,21.78,2026-05-06,2026-05-06
R146,P001,SQ011,SH255,231,RenderMan,Success,13.77,2026-05-06,2026-05-06
R147,P001,SQ011,SH256,69,Arnold,Success,3.09,2026-05-04,2026-05-04
R148,P001,SQ011,SH256,69,Arnold,Success,3.11,2026-05-05,2026-05-05
R149,P001,SQ011,SH257,427,V-Ray,Success,55.01,2026-05-03,2026-05-05
R150,P001,SQ011,SH258,107,Arnold,Success,3.41,2026-04-21,2026-04-21
R151,P001,SQ011,SH258,107,Arnold,Success,5.18,2026-04-26,2026-04-26
R152,P001,SQ011,SH259,110,Arnold,Success,3.65,2026-04-08,2026-04-08
R153,P001,SQ011,SH260,76,V-Ray,Success,3.04,2026-04-15,2026-04-15
R154,P001,SQ011,SH260,76,Arnold,Success,2.5,2026-04-12,2026-04-12
R155,P001,SQ011,SH260,76,Arnold,Success,1.55,2026-04-09,2026-04-09
R156,P001,SQ011,SH261,123,Arnold,Success,7.42,2026-04-19,2026-04-19
R157,P001,SQ011,SH262,108,RenderMan,Success,2.38,2026-04-29,2026-04-29
R158,P001,SQ011,SH262,108,Arnold,Success,4.18,2026-04-22,2026-04-22
R159,P001,SQ011,SH263,107,Arnold,Failed,3.9,2026-04-16,2026-04-16
R160,P001,SQ011,SH264,96,RenderMan,Success,2.51,2026-04-09,2026-04-09
R161,P001,SQ011,SH265,91,Arnold,Success,3.19,2026-05-10,2026-05-10
R162,P001,SQ011,SH265,91,Arnold,Success,3.2,2026-05-13,2026-05-13
R163,P001,SQ011,SH266,59,Arnold,Failed,1.59,2026-04-08,2026-04-08
R164,P001,SQ011,SH267,206,Arnold,Failed,14.18,2026-04-05,2026-04-05
R165,P001,SQ011,SH268,219,RenderMan,Success,11.31,2026-04-14,2026-04-14
R166,P001,SQ011,SH268,219,Arnold,Success,14.45,2026-04-02,2026-04-02
R167,P001,SQ011,SH269,69,Arnold,Success,1.96,2026-04-06,2026-04-06
R168,P001,SQ011,SH270,53,Arnold,Success,1.42,2026-04-12,2026-04-12
R169,P001,SQ011,SH270,53,Arnold,Success,1.43,2026-04-11,2026-04-11
R170,P001,SQ011,SH271,109,Arnold,Success,3.87,2026-04-04,2026-04-04
R171,P001,SQ011,SH271,109,Arnold,Success,2.82,2026-04-06,2026-04-06
R172,P001,SQ011,SH272,250,Arnold,Failed,17.49,2026-04-25,2026-04-25
R173,P001,SQ011,SH272,250,V-Ray,Success,14.02,2026-04-19,2026-04-19
R174,P001,SQ011,SH272,250,Arnold,Success,17.15,2026-05-01,2026-05-01
R175,P001,SQ011,SH273,136,Arnold,Failed,9.29,2026-04-15,2026-04-15
R176,P001,SQ011,SH274,925,Arnold,Success,136.43,2026-04-22,2026-04-27
R177,P001,SQ011,SH274,925,Arnold,Success,202.34,2026-05-01,2026-05-09
R178,P001,SQ011,SH274,925,Arnold,Success,99.15,2026-04-18,2026-04-22
R179,P001,SQ011,SH275,64,Arnold,Success,2.57,2026-05-02,2026-05-02
R180,P001,SQ011,SH275,64,Arnold,Success,2.3,2026-05-10,2026-05-10
R181,P001,SQ011,SH276,267,RenderMan,Success,16.25,2026-04-27,2026-04-27
R182,P001,SQ011,SH276,267,Arnold,Success,17.81,2026-04-21,2026-04-21
R183,P001,SQ011,SH276,267,V-Ray,Success,23.45,2026-04-25,2026-04-25
R184,P001,SQ011,SH277,489,V-Ray,Success,70.47,2026-05-13,2026-05-15
R185,P001,SQ014,SH312,475,Arnold,Success,90.62,2026-01-04,2026-01-07
R186,P001,SQ014,SH312,475,Arnold,Success,65.1,2026-01-03,2026-01-05
R187,P001,SQ014,SH312,475,Arnold,Failed,68.23,2025-12-26,2025-12-28
R188,P001,SQ014,SH313,156,Arnold,Success,12.33,2025-12-03,2025-12-03
R189,P001,SQ014,SH313,156,Arnold,Success,8.83,2025-11-29,2025-11-29
R190,P001,SQ014,SH314,219,Arnold,Failed,17.13,2025-12-13,2025-12-13
R191,P001,SQ014,SH315,44,Arnold,Success,2.15,2025-12-26,2025-12-26
R192,P001,SQ014,SH315,44,Arnold,Success,1.48,2026-01-01,2026-01-01
R193,P001,SQ014,SH315,44,Arnold,Failed,1.67,2026-01-05,2026-01-05
R194,P001,SQ014,SH317,271,V-Ray,Success,23.95,2026-04-05,2026-04-05
R195,P001,SQ014,SH317,271,Arnold,Success,22.39,2026-04-13,2026-04-13
R196,P001,SQ014,SH317,271,Arnold,Success,17.6,2026-04-10,2026-04-10
R197,P001,SQ014,SH318,82,Arnold,Success,3.96,2025-10-26,2025-10-26
R198,P001,SQ014,SH319,87,Arnold,Success,2.13,2025-12-03,2025-12-03
R199,P001,SQ014,SH320,454,Arnold,Success,102.01,2026-01-28,2026-02-01
R200,P001,SQ014,SH320,454,Arnold,Failed,67.02,2026-01-20,2026-01-22
R201,P001,SQ015,SH326,145,V-Ray,Success,13.45,2025-12-09,2025-12-09
R202,P001,SQ015,SH328,87,Arnold,Success,3.98,2026-02-02,2026-02-02
R203,P001,SQ015,SH328,87,Arnold,Success,2.6,2026-02-02,2026-02-02
R204,P001,SQ015,SH328,87,V-Ray,Success,3.03,2026-01-31,2026-01-31
R205,P001,SQ015,SH329,298,Arnold,Success,22.14,2025-11-27,2025-11-27
R206,P001,SQ015,SH329,298,Arnold,Success,22.66,2025-12-01,2025-12-01
R207,P001,SQ015,SH329,298,RenderMan,Success,22.78,2025-11-28,2025-11-28
R208,P001,SQ015,SH340,71,Arnold,Success,2.77,2025-12-22,2025-12-22
R209,P001,SQ015,SH340,71,V-Ray,Success,2.37,2025-12-23,2025-12-23
R210,P001,SQ015,SH340,71,Arnold,Success,2.55,2025-12-21,2025-12-21
R211,P001,SQ016,SH345,231,Arnold,Success,15.62,2026-02-26,2026-02-26
R212,P001,SQ016,SH345,231,Arnold,Success,21.33,2026-02-23,2026-02-23
R213,P001,SQ016,SH349,72,RenderMan,Success,1.64,2026-01-17,2026-01-17
R214,P001,SQ016,SH349,72,V-Ray,Success,3.21,2026-01-17,2026-01-17
R215,P001,SQ016,SH349,72,Arnold,Success,1.92,2026-01-07,2026-01-07
R216,P001,SQ016,SH353,70,RenderMan,Success,2.51,2026-01-21,2026-01-21
R217,P001,SQ016,SH354,240,Arnold,Success,14.86,2026-01-03,2026-01-03
R218,P001,SQ016,SH354,240,V-Ray,Success,12.32,2026-01-10,2026-01-10
R219,P001,SQ016,SH354,240,V-Ray,Success,16.61,2026-01-10,2026-01-10
R220,P001,SQ016,SH361,60,RenderMan,Failed,1.97,2026-02-26,2026-02-26
R221,P001,SQ016,SH361,60,Arnold,Success,1.56,2026-02-24,2026-02-24
R222,P001,SQ016,SH362,612,V-Ray,Success,148.2,2026-04-09,2026-04-15
R223,P001,SQ016,SH362,612,Arnold,Success,98.99,2026-03-30,2026-04-03
R224,P001,SQ016,SH362,612,Arnold,Success,109.06,2026-04-03,2026-04-07
R225,P001,SQ016,SH363,106,Arnold,Success,4.5,2025-12-31,2025-12-31
R226,P001,SQ016,SH367,54,RenderMan,Failed,2.65,2026-01-07,2026-01-07
R227,P001,SQ016,SH367,54,Arnold,Success,1.48,2026-01-12,2026-01-12
R228,P001,SQ016,SH367,54,Arnold,Success,1.87,2026-01-11,2026-01-11
R229,P001,SQ016,SH373,49,Arnold,Success,1.31,2026-06-04,2026-06-04
R230,P001,SQ016,SH373,49,Arnold,Success,2.28,2026-05-25,2026-05-25
R231,P001,SQ016,SH373,49,V-Ray,Success,1.12,2026-06-03,2026-06-03
R232,P001,SQ016,SH379,904,Arnold,Success,195.87,2026-01-09,2026-01-17
R233,P001,SQ016,SH379,904,RenderMan,Success,97.41,2026-01-12,2026-01-16
R234,P001,SQ016,SH383,108,RenderMan,Success,3.02,2026-03-27,2026-03-27
R235,P001,SQ016,SH383,108,Arnold,Success,4.6,2026-04-05,2026-04-05
R236,P001,SQ016,SH385,114,V-Ray,Success,4.22,2026-02-19,2026-02-19
R237,P001,SQ016,SH385,114,V-Ray,Success,4.67,2026-02-15,2026-02-15
R238,P001,SQ016,SH397,63,Arnold,Failed,1.59,2026-03-08,2026-03-08
R239,P001,SQ016,SH398,191,RenderMan,Failed,10.94,2026-02-07,2026-02-07
R240,P001,SQ016,SH398,191,V-Ray,Success,17.31,2026-02-05,2026-02-05
R241,P001,SQ016,SH398,191,RenderMan,Success,14.01,2026-02-04,2026-02-04
R242,P001,SQ016,SH401,240,Arnold,Failed,16.32,2026-03-19,2026-03-19
R243,P001,SQ016,SH401,240,V-Ray,Failed,22.89,2026-03-22,2026-03-22
R244,P001,SQ016,SH401,240,V-Ray,Success,20.05,2026-03-20,2026-03-20
R245,P001,SQ016,SH408,156,Arnold,Success,12.89,2026-03-26,2026-03-26
R246,P001,SQ016,SH408,156,V-Ray,Success,8.53,2026-03-24,2026-03-24
R247,P001,SQ016,SH412,61,Arnold,Success,1.97,2026-04-29,2026-04-29
R248,P001,SQ016,SH412,61,Arnold,Success,1.89,2026-04-30,2026-04-30
R249,P001,SQ016,SH412,61,V-Ray,Success,1.56,2026-05-04,2026-05-04
R250,P001,SQ016,SH416,153,Arnold,Success,14.2,2026-04-09,2026-04-09
R251,P001,SQ016,SH416,153,Arnold,Success,11.85,2026-04-04,2026-04-04
R252,P001,SQ016,SH419,259,RenderMan,Success,24.03,2026-01-27,2026-01-28
R253,P001,SQ016,SH420,114,V-Ray,Success,5.29,2026-01-13,2026-01-13
R254,P001,SQ016,SH420,114,Arnold,Success,4.23,2026-01-04,2026-01-04
R255,P001,SQ016,SH423,47,Arnold,Success,2.22,2026-05-22,2026-05-22
R256,P001,SQ016,SH428,84,V-Ray,Success,3.98,2026-03-30,2026-03-30
R257,P001,SQ016,SH432,360,V-Ray,Success,88.08,2026-01-21,2026-01-24
R258,P001,SQ016,SH432,360,Arnold,Success,67.95,2026-01-21,2026-01-23
R259,P001,SQ016,SH432,360,Arnold,Success,72.29,2026-01-29,2026-02-01
R260,P001,SQ017,SH434,176,Arnold,Success,17.51,2026-03-31,2026-03-31
R261,P001,SQ017,SH439,49,V-Ray,Success,1.94,2026-04-16,2026-04-16
R262,P001,SQ017,SH439,49,Arnold,Success,1.97,2026-04-27,2026-04-27
R263,P001,SQ017,SH439,49,V-Ray,Success,1.66,2026-04-25,2026-04-25
R264,P001,SQ017,SH440,100,RenderMan,Success,3.53,2026-04-02,2026-04-02
R265,P001,SQ017,SH440,100,Arnold,Success,3.19,2026-03-24,2026-03-24
R266,P001,SQ017,SH446,104,V-Ray,Success,2.3,2026-04-30,2026-04-30
R267,P001,SQ017,SH446,104,Arnold,Success,3.39,2026-04-30,2026-04-30
R268,P001,SQ017,SH446,104,RenderMan,Failed,5.2,2026-04-27,2026-04-27
R269,P001,SQ017,SH455,188,Arnold,Success,12.6,2026-03-25,2026-03-25
R270,P001,SQ017,SH464,852,RenderMan,Failed,123.89,2026-05-06,2026-05-11
R271,P001,SQ017,SH464,852,RenderMan,Failed,95.06,2026-05-08,2026-05-11
R272,P001,SQ017,SH470,477,Arnold,Success,49.52,2026-05-19,2026-05-21
R273,P001,SQ017,SH470,477,Arnold,Success,102.52,2026-05-24,2026-05-28
R274,P001,SQ017,SH470,477,RenderMan,Success,55.94,2026-05-30,2026-06-01
R275,P001,SQ017,SH474,93,Arnold,Success,3.12,2026-04-04,2026-04-04
R276,P001,SQ017,SH474,93,Arnold,Success,2.76,2026-03-30,2026-03-30
R277,P001,SQ017,SH491,603,Arnold,Success,70.38,2026-03-22,2026-03-24
R278,P001,SQ017,SH491,603,Arnold,Success,73.04,2026-03-21,2026-03-24
R279,P001,SQ017,SH500,98,Arnold,Success,3.84,2026-05-03,2026-05-03
R280,P001,SQ017,SH500,98,V-Ray,Success,4.41,2026-05-13,2026-05-13
R281,P001,SQ017,SH500,98,Arnold,Success,2.17,2026-05-12,2026-05-12
R282,P001,SQ017,SH506,809,Arnold,Success,83.45,2026-04-03,2026-04-06
R283,P001,SQ017,SH506,809,V-Ray,Success,182.76,2026-04-09,2026-04-16
R284,P001,SQ017,SH507,90,Arnold,Success,2.55,2026-06-20,2026-06-20
R285,P001,SQ018,SH510,60,Arnold,Success,2.05,2025-10-19,2025-10-19
R286,P001,SQ018,SH510,60,Arnold,Success,2.35,2025-10-09,2025-10-09
R287,P001,SQ018,SH511,103,Arnold,Success,4.74,2025-10-10,2025-10-10
R288,P001,SQ018,SH511,103,V-Ray,Success,4.92,2025-10-15,2025-10-15
R289,P001,SQ018,SH512,138,V-Ray,Success,7.08,2025-10-13,2025-10-13
R290,P001,SQ018,SH513,414,V-Ray,Success,58.92,2025-10-02,2025-10-04
R291,P001,SQ018,SH514,179,V-Ray,Success,17.38,2025-10-05,2025-10-05
R292,P001,SQ018,SH515,199,Arnold,Success,16.56,2025-10-14,2025-10-14
R293,P001,SQ018,SH515,199,Arnold,Success,18.69,2025-10-26,2025-10-26
R294,P001,SQ018,SH515,199,RenderMan,Success,12.7,2025-10-24,2025-10-24
R295,P001,SQ018,SH516,63,Arnold,Success,2.8,2025-10-03,2025-10-03
R296,P001,SQ018,SH517,298,RenderMan,Success,18.22,2025-10-14,2025-10-14
R297,P001,SQ018,SH518,250,Arnold,Success,24.09,2025-10-23,2025-10-24
R298,P001,SQ018,SH518,250,Arnold,Success,21.72,2025-10-22,2025-10-22
R299,P001,SQ018,SH518,250,V-Ray,Success,22.79,2025-10-18,2025-10-18
R300,P001,SQ018,SH519,621,Arnold,Success,119.64,2025-10-08,2025-10-12
R301,P001,SQ018,SH519,621,Arnold,Success,88.23,2025-10-12,2025-10-15
R302,P001,SQ018,SH520,162,Arnold,Success,16.03,2025-10-07,2025-10-07
R303,P001,SQ018,SH521,209,Arnold,Success,18.17,2025-10-23,2025-10-23
R304,P001,SQ018,SH522,106,Arnold,Success,4.29,2025-10-18,2025-10-18
R305,P001,SQ019,SH524,67,Arnold,Failed,2.93,2025-10-11,2025-10-11
R306,P001,SQ019,SH524,67,Arnold,Success,1.41,2025-10-06,2025-10-06
R307,P001,SQ019,SH526,157,V-Ray,Success,9.09,2025-12-03,2025-12-03
R308,P001,SQ019,SH527,77,RenderMan,Success,1.76,2026-04-23,2026-04-23
R309,P001,SQ019,SH527,77,Arnold,Success,2.32,2026-04-12,2026-04-12
R310,P001,SQ019,SH530,68,Arnold,Success,1.54,2026-02-05,2026-02-05
R311,P001,SQ019,SH530,68,Arnold,Success,3.16,2026-02-05,2026-02-05
R312,P001,SQ020,SH532,809,Arnold,Success,174.54,2025-12-19,2025-12-26
R313,P001,SQ020,SH533,121,V-Ray,Success,6.22,2025-12-09,2025-12-09
R314,P001,SQ020,SH533,121,RenderMan,Success,9.06,2025-12-09,2025-12-09
R315,P001,SQ020,SH533,121,Arnold,Success,12.05,2025-12-03,2025-12-03
R316,P001,SQ020,SH534,135,RenderMan,Success,8.27,2025-12-10,2025-12-10
R317,P001,SQ020,SH534,135,V-Ray,Success,10.73,2025-12-20,2025-12-20
R318,P001,SQ020,SH534,135,V-Ray,Success,10.0,2025-12-21,2025-12-21
R319,P001,SQ020,SH535,129,RenderMan,Success,7.85,2026-01-09,2026-01-09
