task_id,project_id,sequence_id,shot_id,department,estimated_hours,priority,start_date,end_date,status
T179,P001,SQ002,SH047,Animation,24,High,2026-11-26,2027-03-27,In Progress
T180,P001,SQ002,SH047,Lighting,22,Medium,2026-10-06,2027-03-12,In Progress
T181,P001,SQ002,SH047,Compositing,20,Medium,2026-06-27,2026-11-12,In Progress
T182,P001,SQ002,SH048,Lighting,7,Low,2027-01-07,2027-03-20,In Progress
T183,P001,SQ002,SH048,Compositing,6,Low,2026-11-30,2027-05-11,In Progress
T184,P001,SQ002,SH049,Modeling,146,High,2026-10-05,2026-12-22,In Progress
T185,P001,SQ002,SH049,Rigging,109,High,2026-10-07,2026-10-28,In Progress
T186,P001,SQ002,SH049,Animation,180,High,2026-11-12,2027-03-30,In Progress
T187,P001,SQ002,SH049,CFX,161,High,2026-10-18,2026-11-23,In Progress
T188,P001,SQ002,SH049,FX,72,High,2026-11-24,2026-12-12,In Progress
T189,P001,SQ002,SH049,Lighting,64,High,2026-11-03,2027-04-22,In Progress
T190,P001,SQ002,SH049,Compositing,67,Medium,2026-10-12,2027-02-26,In Progress
T191,P001,SQ002,SH050,Animation,11,Medium,2026-06-25,2026-12-24,In Progress
T192,P001,SQ002,SH050,Lighting,18,Medium,2026-10-30,2027-04-20,In Progress
T193,P001,SQ002,SH050,Compositing,17,Low,2026-05-29,2026-08-09,In Progress
T194,P001,SQ002,SH051,Animation,5,Low,2026-08-31,2026-10-04,In Progress
T195,P001,SQ002,SH051,Lighting,13,Low,2026-08-23,2026-10-07,In Progress
T196,P001,SQ002,SH051,Compositing,8,Medium,2026-08-24,2026-09-20,In Progress
T197,P001,SQ002,SH052,Lighting,6,Low,2026-07-09,2026-07-27,In Progress
T198,P001,SQ002,SH052,Compositing,15,Low,2026-07-12,2026-07-19,In Progress
T199,P001,SQ002,SH053,Animation,52,Medium,2026-08-05,2026-09-16,In Progress
T200,P001,SQ002,SH053,CFX,52,High,2026-09-23,2027-01-05,In Progress
T201,P001,SQ002,SH053,Lighting,26,Low,2026-08-10,2026-08-14,In Progress
T202,P001,SQ002,SH053,Compositing,28,Medium,2026-07-26,2027-01-18,In Progress
T203,P001,SQ002,SH054,Animation,13,Low,2026-08-28,2026-09-27,In Progress
T204,P001,SQ002,SH054,Lighting,17,Low,2026-08-31,2026-09-11,In Progress
T205,P001,SQ002,SH054,Compositing,9,Low,2026-08-29,2026-09-19,In Progress
T206,P001,SQ002,SH055,Animation,27,Medium,2026-06-16,2026-06-27,In Progress
T207,P001,SQ002,SH055,CFX,31,High,2026-06-07,2026-07-02,In Progress
T208,P001,SQ002,SH055,Lighting,50,Low,2026-06-03,2026-06-11,Completed
T209,P001,SQ002,SH055,Compositing,21,High,2026-06-17,2026-06-28,In Progress
T210,P001,SQ002,SH056,Animation,51,High,2026-08-10,2026-10-16,In Progress
T211,P001,SQ002,SH056,FX,31,Medium,2026-08-14,2026-11-02,In Progress
T212,P001,SQ002,SH056,Lighting,45,High,2026-08-09,2026-10-31,In Progress
T213,P001,SQ002,SH056,Compositing,43,Medium,2026-08-27,2026-11-17,In Progress
T214,P001,SQ002,SH057,Modeling,188,Medium,2026-07-02,2026-09-22,In Progress
T215,P001,SQ002,SH057,Rigging,158,High,2026-07-07,2026-07-20,In Progress
T216,P001,SQ002,SH057,Animation,111,High,2026-05-29,2026-06-27,In Progress
T217,P001,SQ002,SH057,CFX,62,Medium,2026-05-19,2026-08-18,In Progress
T218,P001,SQ002,SH057,FX,150,Medium,2026-07-09,2026-09-03,In Progress
T219,P001,SQ002,SH057,Lighting,72,High,2026-05-06,2026-09-22,In Progress
T220,P001,SQ002,SH057,Compositing,64,High,2026-06-25,2026-08-10,In Progress
T221,P001,SQ002,SH058,Animation,28,Medium,2026-06-02,2026-06-08,Completed
T222,P001,SQ002,SH058,CFX,54,Medium,2026-06-09,2026-06-17,Completed
T223,P001,SQ002,SH058,Lighting,40,Low,2026-06-08,2026-06-20,Completed
T224,P001,SQ002,SH058,Compositing,29,Medium,2026-05-31,2026-06-23,Completed
T225,P001,SQ002,SH059,Modeling,199,High,2026-05-15,2026-07-26,In Progress
T226,P001,SQ002,SH059,Rigging,179,High,2026-06-08,2026-09-10,In Progress
T227,P001,SQ002,SH059,Animation,146,Medium,2026-06-08,2026-08-10,In Progress
T228,P001,SQ002,SH059,CFX,153,High,2026-06-27,2026-09-11,In Progress
T229,P001,SQ002,SH059,FX,84,High,2026-05-26,2026-08-23,In Progress
T230,P001,SQ002,SH059,Lighting,125,Medium,2026-06-19,2026-08-19,In Progress
T231,P001,SQ002,SH059,Compositing,93,High,2026-06-02,2026-08-18,In Progress
T232,P001,SQ002,SH060,Animation,31,High,2026-11-21,2027-04-13,In Progress
T233,P001,SQ002,SH060,Lighting,47,Medium,2026-10-25,2026-12-10,In Progress
T234,P001,SQ002,SH060,Compositing,50,Medium,2027-01-28,2027-02-26,In Progress
T235,P001,SQ002,SH061,Modeling,170,High,2026-10-03,2027-03-01,In Progress
T236,P001,SQ002,SH061,Rigging,138,Medium,2026-06-02,2026-11-12,In Progress
T237,P001,SQ002,SH061,Animation,176,High,2026-07-03,2027-04-04,In Progress
T238,P001,SQ002,SH061,CFX,149,High,2026-08-25,2027-03-10,In Progress
T239,P001,SQ002,SH061,FX,186,High,2026-06-04,2026-12-03,In Progress
T240,P001,SQ002,SH061,Lighting,149,High,2026-07-07,2026-12-14,In Progress
T241,P001,SQ002,SH061,Compositing,64,High,2026-07-22,2026-12-16,In Progress
T242,P001,SQ002,SH062,Animation,55,High,2026-09-15,2026-12-06,In Progress
T243,P001,SQ002,SH062,CFX,20,Medium,2026-08-24,2026-09-09,In Progress
T244,P001,SQ002,SH062,Lighting,35,Medium,2026-10-06,2026-10-30,In Progress
T245,P001,SQ002,SH062,Compositing,56,Medium,2026-09-03,2026-09-20,In Progress
T246,P001,SQ002,SH063,Animation,6,Low,2026-05-23,2027-02-11,In Progress
T247,P001,SQ002,SH063,Lighting,8,Low,2026-08-18,2026-11-09,In Progress
T248,P001,SQ002,SH063,Compositing,9,Low,2026-08-17,2026-10-13,In Progress
T249,P001,SQ002,SH064,Lighting,11,Medium,2026-08-21,2026-09-10,In Progress
T250,P001,SQ002,SH064,Compositing,17,Low,2026-06-30,2026-09-11,In Progress
T251,P001,SQ002,SH065,Modeling,78,High,2026-05-09,2026-07-18,In Progress
T252,P001,SQ002,SH065,Rigging,191,Medium,2026-05-23,2026-07-08,In Progress
T253,P001,SQ002,SH065,Animation,176,High,2026-06-28,2027-01-10,In Progress
T254,P001,SQ002,SH065,CFX,170,High,2026-08-09,2026-10-11,In Progress
T255,P001,SQ002,SH065,FX,144,High,2026-07-20,2026-11-06,In Progress
T256,P001,SQ002,SH065,Lighting,105,High,2026-05-09,2026-12-03,In Progress
T257,P001,SQ002,SH065,Compositing,111,Medium,2026-08-08,2026-10-01,In Progress
T258,P001,SQ002,SH066,Animation,6,Low,2026-10-14,2026-11-21,In Progress
T259,P001,SQ002,SH066,Lighting,8,Medium,2026-10-27,2026-12-23,In Progress
T260,P001,SQ002,SH066,Compositing,12,Low,2026-12-08,2027-04-11,In Progress
T261,P001,SQ002,SH067,Lighting,6,Medium,2026-06-16,2026-07-20,In Progress
T262,P001,SQ002,SH067,Compositing,18,Low,2026-07-29,2027-01-22,In Progress
T263,P001,SQ002,SH068,Lighting,13,Low,2027-01-23,2027-02-13,In Progress
T264,P001,SQ002,SH068,Compositing,15,Medium,2026-12-19,2027-02-25,In Progress
T265,P001,SQ002,SH069,Animation,56,Low,2026-09-29,2026-10-17,In Progress
T266,P001,SQ002,SH069,Lighting,36,Low,2026-10-02,2026-10-25,In Progress
T267,P001,SQ002,SH069,Compositing,43,Medium,2026-10-10,2026-10-12,In Progress
T268,P001,SQ002,SH070,Animation,20,Medium,2026-08-09,2026-10-29,In Progress
T269,P001,SQ002,SH070,Lighting,45,High,2026-08-20,2026-10-15,In Progress
T270,P001,SQ002,SH070,Compositing,22,Medium,2026-09-01,2026-10-04,In Progress
T271,P001,SQ002,SH071,Animation,51,High,2026-11-12,2027-04-04,In Progress
T272,P001,SQ002,SH071,CFX,51,Low,2026-11-17,2027-02-17,In Progress
T273,P001,SQ002,SH071,Lighting,31,Low,2026-11-21,2027-02-26,In Progress
T274,P001,SQ002,SH071,Compositing,23,Medium,2026-11-20,2027-03-09,In Progress
T275,P001,SQ002,SH072,Animation,58,Medium,2027-01-28,2027-04-02,In Progress
T276,P001,SQ002,SH072,CFX,26,Medium,2027-02-12,2027-03-08,In Progress
T277,P001,SQ002,SH072,Lighting,56,Medium,2026-12-25,2027-01-30,In Progress
T278,P001,SQ002,SH072,Compositing,36,Medium,2027-01-11,2027-01-24,In Progress
T279,P001,SQ003,SH073,Modeling,169,High,2026-01-08,2026-06-10,Completed
T280,P001,SQ003,SH073,Rigging,135,High,2026-03-24,2026-04-04,Completed
T281,P001,SQ003,SH073,Animation,100,High,2026-03-02,2026-05-30,Completed
T282,P001,SQ003,SH073,CFX,173,High,2026-03-07,2026-04-01,Completed
T283,P001,SQ003,SH073,FX,119,Medium,2026-02-02,2026-05-03,Completed
T284,P001,SQ003,SH073,Lighting,172,High,2026-02-27,2026-05-06,Completed
T285,P001,SQ003,SH073,Compositing,140,High,2026-03-23,2026-04-29,Completed
T286,P001,SQ003,SH074,Animation,22,High,2026-06-23,2026-07-16,In Progress
T287,P001,SQ003,SH074,Lighting,32,High,2026-06-05,2026-06-12,Completed
T288,P001,SQ003,SH074,Compositing,58,Medium,2026-04-23,2026-05-03,Completed
T289,P001,SQ003,SH075,Lighting,8,Medium,2026-03-03,2026-04-17,Completed
T290,P001,SQ003,SH075,Compositing,14,Low,2026-04-28,2026-07-28,In Progress
T291,P001,SQ003,SH076,Lighting,10,Low,2026-04-30,2026-05-20,Completed
T292,P001,SQ003,SH076,Compositing,19,Low,2026-04-27,2026-05-02,Completed
T293,P001,SQ003,SH077,Animation,12,Low,2026-02-16,2026-04-07,Completed
T294,P001,SQ003,SH077,Lighting,12,Medium,2026-03-27,2026-04-30,Completed
T295,P001,SQ003,SH077,Compositing,19,Medium,2026-02-23,2026-03-24,Completed
T296,P001,SQ003,SH078,Animation,27,High,2026-05-08,2026-08-17,In Progress
T297,P001,SQ003,SH078,FX,42,Low,2026-04-13,2026-06-05,Completed
T298,P001,SQ003,SH078,Lighting,49,Medium,2026-04-13,2026-08-13,In Progress
T299,P001,SQ003,SH078,Compositing,41,Low,2026-05-10,2026-06-15,Completed
T300,P001,SQ003,SH079,Lighting,16,Low,2026-02-03,2026-02-21,Completed
T301,P001,SQ003,SH079,Compositing,16,Low,2026-02-20,2026-03-21,Completed
T302,P001,SQ003,SH080,Animation,10,Medium,2026-04-18,2026-05-08,Completed
T303,P001,SQ003,SH080,Lighting,7,Low,2026-04-05,2026-04-24,Completed
T304,P001,SQ003,SH080,Compositing,16,Low,2026-04-09,2026-04-14,Completed
T305,P001,SQ003,SH081,Animation,12,Low,2026-02-27,2026-07-12,In Progress
T306,P001,SQ003,SH081,Lighting,12,Low,2026-01-17,2026-05-31,Completed
T307,P001,SQ003,SH081,Compositing,16,Low,2026-02-01,2026-04-04,Completed
T308,P001,SQ003,SH082,Lighting,8,Low,2026-02-28,2026-03-14,Completed
T309,P001,SQ003,SH082,Compositing,11,Low,2026-02-28,2026-03-23,Completed
T310,P001,SQ003,SH083,Modeling,195,Medium,2026-04-03,2026-09-08,In Progress
T311,P001,SQ003,SH083,Rigging,198,High,2026-05-25,2026-08-14,In Progress
T312,P001,SQ003,SH083,Animation,110,High,2026-04-01,2026-07-21,In Progress
T313,P001,SQ003,SH083,CFX,169,Medium,2026-04-01,2026-05-19,Completed
T314,P001,SQ003,SH083,FX,95,High,2026-05-01,2026-08-21,In Progress
T315,P001,SQ003,SH083,Lighting,188,High,2026-05-31,2026-08-10,In Progress
T316,P001,SQ003,SH083,Compositing,181,High,2026-04-21,2026-06-02,Completed
T317,P001,SQ003,SH084,Animation,35,Low,2026-04-28,2026-05-01,Completed
T318,P001,SQ003,SH084,CFX,32,High,2026-04-29,2026-04-30,Completed
T319,P001,SQ003,SH084,Lighting,22,High,2026-04-29,2026-05-03,Completed
T320,P001,SQ003,SH084,Compositing,26,Medium,2026-04-29,2026-05-01,Completed
