shot_id,project_id,sequence_id,shot_name,complexity,frame_count,start_date,end_date,status
SH064,P001,SQ002,P001_SEQ020_SH550,Low,51,2026-05-01,2026-12-28,In Progress
SH065,P001,SQ002,P001_SEQ020_SH560,High,801,2026-05-08,2027-02-14,In Progress
SH066,P001,SQ002,P001_SEQ020_SH570,Low,102,2026-07-25,2027-05-10,In Progress
SH067,P001,SQ002,P001_SEQ020_SH580,Low,104,2026-06-07,2027-02-11,In Progress
SH068,P001,SQ002,P001_SEQ020_SH590,Low,55,2026-10-08,2027-05-25,In Progress
SH069,P001,SQ002,P001_SEQ020_SH600,Medium,136,2026-10-02,2026-11-14,In Progress
SH070,P001,SQ002,P001_SEQ020_SH610,Medium,165,2026-07-27,2026-12-25,In Progress
SH071,P001,SQ002,P001_SEQ020_SH620,Medium,168,2026-07-14,2027-05-20,In Progress
SH072,P001,SQ002,P001_SEQ020_SH630,Medium,179,2026-11-19,2027-06-19,In Progress
SH073,P001,SQ003,P001_SEQ030_SH010,High,576,2026-01-11,2026-06-28,Completed
SH074,P001,SQ003,P001_SEQ030_SH020,Medium,279,2026-04-14,2026-09-17,In Progress
SH075,P001,SQ003,P001_SEQ030_SH030,Low,84,2026-02-26,2026-08-11,In Progress
SH076,P001,SQ003,P001_SEQ030_SH040,Low,59,2026-04-22,2026-06-10,Completed
SH077,P001,SQ003,P001_SEQ030_SH050,Low,61,2026-01-27,2026-08-11,In Progress
SH078,P001,SQ003,P001_SEQ030_SH060,Medium,130,2026-04-15,2026-08-30,In Progress
SH079,P001,SQ003,P001_SEQ030_SH070,Low,117,2026-01-25,2026-04-09,Completed
SH080,P001,SQ003,P001_SEQ030_SH080,Low,101,2026-04-10,2026-05-13,Completed
SH081,P001,SQ003,P001_SEQ030_SH090,Low,71,2025-12-21,2026-08-29,In Progress
SH082,P001,SQ003,P001_SEQ030_SH100,Low,83,2026-01-30,2026-04-10,Completed
SH083,P001,SQ003,P001_SEQ030_SH110,High,699,2026-04-05,2026-09-16,In Progress
SH084,P001,SQ003,P001_SEQ030_SH120,Medium,152,2026-05-03,2026-05-08,Completed
SH085,P001,SQ003,P001_SEQ030_SH130,Low,79,2026-03-19,2026-06-10,Completed
SH086,P001,SQ003,P001_SEQ030_SH140,Low,113,2025-12-22,2026-08-06,In Progress
SH087,P001,SQ003,P001_SEQ030_SH150,Low,71,2026-01-19,2026-07-27,In Progress
SH088,P001,SQ003,P001_SEQ030_SH160,Medium,184,2026-03-04,2026-07-07,In Progress
SH089,P001,SQ003,P001_SEQ030_SH170,Low,64,2026-03-25,2026-04-15,Completed
SH090,P001,SQ003,P001_SEQ030_SH180,Medium,137,2026-02-05,2026-05-01,Completed
SH091,P001,SQ003,P001_SEQ030_SH190,Medium,177,2026-04-19,2026-07-24,In Progress
SH092,P001,SQ003,P001_SEQ030_SH200,High,495,2026-03-10,2026-04-12,Completed
SH093,P001,SQ003,P001_SEQ030_SH210,High,411,2026-03-05,2026-08-01,In Progress
SH094,P001,SQ003,P001_SEQ030_SH220,Medium,216,2026-05-04,2026-05-15,Completed
SH095,P001,SQ003,P001_SEQ030_SH230,Medium,152,2026-02-06,2026-07-05,In Progress
SH096,P001,SQ004,P001_SEQ040_SH010,Low,62,2026-08-31,2026-09-30,In Progress
SH097,P001,SQ004,P001_SEQ040_SH020,High,757,2026-08-27,2026-10-18,In Progress
SH098,P001,SQ004,P001_SEQ040_SH030,High,529,2026-08-06,2026-09-12,In Progress
SH099,P001,SQ004,P001_SEQ040_SH040,Low,101,2026-08-02,2026-08-10,In Progress
SH100,P001,SQ004,P001_SEQ040_SH050,Low,98,2026-07-30,2026-09-17,In Progress
SH101,P001,SQ004,P001_SEQ040_SH060,High,949,2026-09-06,2026-09-25,In Progress
SH102,P001,SQ004,P001_SEQ040_SH070,High,344,2026-09-05,2026-10-02,In Progress
SH103,P001,SQ004,P001_SEQ040_SH080,Low,50,2026-08-11,2026-08-27,In Progress
SH104,P001,SQ004,P001_SEQ040_SH090,Medium,192,2026-08-13,2026-09-24,In Progress
SH105,P001,SQ004,P001_SEQ040_SH100,High,847,2026-08-07,2026-09-12,In Progress
SH106,P001,SQ004,P001_SEQ040_SH110,High,476,2026-08-13,2026-09-16,In Progress
SH107,P001,SQ004,P001_SEQ040_SH120,Low,98,2026-08-25,2026-09-01,In Progress
SH108,P001,SQ004,P001_SEQ040_SH130,Medium,273,2026-08-22,2026-08-30,In Progress
SH109,P001,SQ004,P001_SEQ040_SH140,Low,85,2026-08-07,2026-10-18,In Progress
SH110,P001,SQ004,P001_SEQ040_SH150,Low,94,2026-08-27,2026-09-04,In Progress
SH111,P001,SQ004,P001_SEQ040_SH160,High,811,2026-08-20,2026-09-08,In Progress
SH112,P001,SQ004,P001_SEQ040_SH170,Medium,164,2026-09-09,2026-10-23,In Progress
SH113,P001,SQ004,P001_SEQ040_SH180,Medium,241,2026-08-09,2026-08-26,In Progress
SH114,P001,SQ004,P001_SEQ040_SH190,Medium,293,2026-07-29,2026-09-06,In Progress
SH115,P001,SQ004,P001_SEQ040_SH200,Low,44,2026-09-03,2026-09-22,In Progress
SH116,P001,SQ004,P001_SEQ040_SH210,High,700,2026-09-09,2026-09-27,In Progress
SH117,P001,SQ004,P001_SEQ040_SH220,Medium,250,2026-08-14,2026-10-21,In Progress
SH118,P001,SQ004,P001_SEQ040_SH230,Low,95,2026-08-02,2026-10-07,In Progress
SH119,P001,SQ004,P001_SEQ040_SH240,High,382,2026-08-28,2026-09-09,In Progress
SH120,P001,SQ004,P001_SEQ040_SH250,Low,103,2026-08-08,2026-10-06,In Progress
SH121,P001,SQ004,P001_SEQ040_SH260,Medium,293,2026-09-01,2026-10-27,In Progress
SH122,P001,SQ004,P001_SEQ040_SH270,Medium,219,2026-09-04,2026-09-11,In Progress
SH123,P001,SQ004,P001_SEQ040_SH280,Medium,266,2026-08-12,2026-08-17,In Progress
SH124,P001,SQ004,P001_SEQ040_SH290,High,574,2026-08-29,2026-09-07,In Progress
SH125,P001,SQ005,P001_SEQ050_SH010,Medium,277,2026-02-23,2026-04-24,Completed
SH126,P001,SQ005,P001_SEQ050_SH020,High,897,2026-03-27,2026-04-03,Completed
SH127,P001,SQ005,P001_SEQ050_SH030,Medium,206,2026-02-05,2026-04-11,Completed
SH128,P001,SQ005,P001_SEQ050_SH040,Low,101,2026-02-21,2026-04-07,Completed
SH129,P001,SQ005,P001_SEQ050_SH050,Low,52,2026-02-28,2026-03-30,Completed
SH130,P001,SQ005,P001_SEQ050_SH060,Medium,262,2026-02-13,2026-02-26,Completed
SH131,P001,SQ005,P001_SEQ050_SH070,Low,113,2026-03-19,2026-05-04,Completed
SH132,P001,SQ005,P001_SEQ050_SH080,Low,112,2026-02-09,2026-06-03,Completed
SH133,P001,SQ005,P001_SEQ050_SH090,Medium,203,2026-01-27,2026-06-24,Completed
SH134,P001,SQ005,P001_SEQ050_SH100,Medium,296,2026-03-04,2026-05-08,Completed
SH135,P001,SQ005,P001_SEQ050_SH110,High,444,2026-03-11,2026-06-25,Completed
SH136,P001,SQ005,P001_SEQ050_SH120,Medium,284,2026-02-15,2026-03-19,Completed
SH137,P001,SQ005,P001_SEQ050_SH130,Low,63,2026-04-04,2026-04-25,Completed
SH138,P001,SQ005,P001_SEQ050_SH140,High,312,2026-02-28,2026-05-25,Completed
SH139,P001,SQ005,P001_SEQ050_SH150,Medium,209,2026-03-12,2026-05-05,Completed
SH140,P001,SQ005,P001_SEQ050_SH160,Low,115,2026-01-24,2026-05-17,Completed
SH141,P001,SQ005,P001_SEQ050_SH170,Medium,134,2026-03-27,2026-04-10,Completed
SH142,P001,SQ005,P001_SEQ050_SH180,Low,106,2026-02-06,2026-06-13,Completed
SH143,P001,SQ005,P001_SEQ050_SH190,High,960,2026-03-11,2026-04-20,Completed
SH144,P001,SQ005,P001_SEQ050_SH200,Medium,168,2026-03-29,2026-04-21,Completed
SH145,P001,SQ005,P001_SEQ050_SH210,High,781,2026-02-14,2026-05-02,Completed
SH146,P001,SQ005,P001_SEQ050_SH220,Medium,251,2026-01-22,2026-05-28,Completed
SH147,P001,SQ005,P001_SEQ050_SH230,Low,53,2026-02-10,2026-04-20,Completed
SH148,P001,SQ005,P001_SEQ050_SH240,Medium,158,2026-02-09,2026-05-22,Completed
SH149,P001,SQ005,P001_SEQ050_SH250,High,883,2026-02-15,2026-04-25,Completed
SH150,P001,SQ005,P001_SEQ050_SH260,Medium,281,2026-03-26,2026-04-04,Completed
SH151,P001,SQ005,P001_SEQ050_SH270,High,462,2026-01-29,2026-06-03,Completed
SH152,P001,SQ005,P001_SEQ050_SH280,High,500,2026-03-17,2026-06-14,Completed
SH153,P001,SQ005,P001_SEQ050_SH290,High,465,2026-02-13,2026-04-12,Completed
SH154,P001,SQ005,P001_SEQ050_SH300,Low,48,2026-02-07,2026-03-17,Completed
SH155,P001,SQ005,P001_SEQ050_SH310,Low,80,2026-03-01,2026-04-30,Completed
SH156,P001,SQ005,P001_SEQ050_SH320,High,870,2026-01-22,2026-02-21,Completed
SH157,P001,SQ005,P001_SEQ050_SH330,High,991,2026-03-20,2026-05-23,Completed
SH158,P001,SQ005,P001_SEQ050_SH340,Low,79,2026-01-25,2026-05-09,Completed
SH159,P001,SQ005,P001_SEQ050_SH350,Medium,253,2026-03-08,2026-06-19,Completed
SH160,P001,SQ005,P001_SEQ050_SH360,Medium,182,2026-02-16,2026-04-12,Completed
SH161,P001,SQ005,P001_SEQ050_SH370,Medium,132,2026-03-16,2026-06-10,Completed
SH162,P001,SQ005,P001_SEQ050_SH380,Low,59,2026-01-22,2026-06-03,Completed
SH163,P001,SQ005,P001_SEQ050_SH390,Low,113,2026-03-23,2026-04-12,Completed
SH164,P001,SQ006,P001_SEQ060_SH010,Medium,171,2027-02-17,2027-09-03,In Progress
SH165,P001,SQ006,P001_SEQ060_SH020,Medium,143,2027-02-02,2027-03-16,In Progress
SH166,P001,SQ006,P001_SEQ060_SH030,Low,96,2026-10-10,2026-12-28,In Progress
SH167,P001,SQ006,P001_SEQ060_SH040,Low,49,2027-03-28,2027-09-12,In Progress
SH168,P001,SQ006,P001_SEQ060_SH050,Low,65,2026-10-08,2027-07-28,In Progress
SH169,P001,SQ006,P001_SEQ060_SH060,Medium,240,2027-03-22,2027-08-11,In Progress
SH170,P001,SQ006,P001_SEQ060_SH070,Low,55,2027-02-06,2027-07-16,In Progress
SH171,P001,SQ006,P001_SEQ060_SH080,Medium,157,2026-12-30,2027-07-26,In Progress
SH172,P001,SQ006,P001_SEQ060_SH090,Medium,222,2026-10-17,2027-02-08,In Progress
SH173,P001,SQ006,P001_SEQ060_SH100,Low,78,2026-09-23,2027-10-06,In Progress
SH174,P001,SQ006,P001_SEQ060_SH110,High,827,2026-11-27,2027-09-25,In Progress
SH175,P001,SQ006,P001_SEQ060_SH120,Medium,293,2027-01-06,2027-07-19,In Progress
SH176,P001,SQ006,P001_SEQ060_SH130,High,811,2026-09-23,2027-04-12,In Progress
SH177,P001,SQ006,P001_SEQ060_SH140,High,918,2026-11-28,2027-09-25,In Progress
SH178,P001,SQ006,P001_SEQ060_SH150,Medium,147,2026-12-19,2026-12-27,In Progress
SH179,P001,SQ006,P001_SEQ060_SH160,High,741,2026-12-01,2027-01-31,In Progress
SH180,P001,SQ007,P001_SEQ070_SH010,Low,85,2026-05-05,2026-05-24,Completed
SH181,P001,SQ007,P001_SEQ070_SH020,High,698,2026-03-30,2026-04-23,Completed
SH182,P001,SQ007,P001_SEQ070_SH030,Medium,259,2026-05-01,2026-05-28,Completed
SH183,P001,SQ007,P001_SEQ070_SH040,Medium,178,2026-03-07,2026-04-11,Completed
SH184,P001,SQ007,P001_SEQ070_SH050,Medium,241,2026-03-22,2026-05-09,Completed
SH185,P001,SQ007,P001_SEQ070_SH060,Low,98,2026-04-07,2026-05-18,Completed
SH186,P001,SQ007,P001_SEQ070_SH070,Medium,237,2026-04-16,2026-05-13,Completed
SH187,P001,SQ007,P001_SEQ070_SH080,Medium,268,2026-03-25,2026-07-02,In Progress
SH188,P001,SQ007,P001_SEQ070_SH090,Medium,168,2026-04-20,2026-06-22,Completed
SH189,P001,SQ007,P001_SEQ070_SH100,Medium,288,2026-04-24,2026-07-14,In Progress
SH190,P001,SQ007,P001_SEQ070_SH110,High,726,2026-03-17,2026-06-14,Completed
SH191,P001,SQ008,P001_SEQ080_SH010,Medium,293,2027-01-08,2027-06-06,In Progress
SH192,P001,SQ008,P001_SEQ080_SH020,Low,65,2026-11-07,2027-04-26,In Progress
SH193,P001,SQ008,P001_SEQ080_SH030,Medium,202,2026-10-21,2026-11-01,In Progress
SH194,P001,SQ008,P001_SEQ080_SH040,High,923,2026-11-26,2026-12-19,In Progress
SH195,P001,SQ008,P001_SEQ080_SH050,Low,92,2026-10-23,2027-05-07,In Progress
SH196,P001,SQ008,P001_SEQ080_SH060,Medium,152,2026-12-20,2027-04-17,In Progress
SH197,P001,SQ008,P001_SEQ080_SH070,Low,79,2026-11-23,2027-06-23,In Progress
SH198,P001,SQ008,P001_SEQ080_SH080,Medium,255,2026-12-22,2027-06-13,In Progress
SH199,P001,SQ008,P001_SEQ080_SH090,Medium,195,2027-01-19,2027-03-27,In Progress
SH200,P001,SQ008,P001_SEQ080_SH100,Medium,216,2027-01-16,2027-07-04,In Progress
SH201,P001,SQ008,P001_SEQ080_SH110,Medium,226,2027-01-19,2027-03-04,In Progress
SH202,P001,SQ008,P001_SEQ080_SH120,Low,113,2026-10-19,2026-12-08,In Progress
SH203,P001,SQ008,P001_SEQ080_SH130,Low,59,2027-01-11,2027-06-16,In Progress
SH204,P001,SQ008,P001_SEQ080_SH140,Medium,146,2027-01-24,2027-07-03,In Progress
SH205,P001,SQ008,P001_SEQ080_SH150,Low,75,2027-02-08,2027-05-27,In Progress
SH206,P001,SQ008,P001_SEQ080_SH160,High,545,2026-10-30,2027-05-07,In Progress
SH207,P001,SQ008,P001_SEQ080_SH170,High,582,2026-11-22,2027-06-12,In Progress
SH208,P001,SQ008,P001_SEQ080_SH180,Medium,264,2026-12-15,2027-06-22,In Progress
SH209,P001,SQ009,P001_SEQ090_SH010,Medium,145,2026-11-05,2026-12-03,In Progress
SH210,P001,SQ009,P001_SEQ090_SH020,Low,72,2027-03-27,2027-05-25,In Progress
SH211,P001,SQ009,P001_SEQ090_SH030,Low,109,2027-01-05,2027-09-21,In Progress
SH212,P001,SQ009,P001_SEQ090_SH040,Medium,155,2026-11-21,2027-06-23,In Progress
SH213,P001,SQ009,P001_SEQ090_SH050,Medium,193,2027-01-15,2027-02-02,In Progress
SH214,P001,SQ009,P001_SEQ090_SH060,High,757,2026-09-12,2026-11-22,In Progress
SH215,P001,SQ009,P001_SEQ090_SH070,Low,116,2027-03-24,2027-10-08,In Progress
SH216,P001,SQ009,P001_SEQ090_SH080,Low,46,2027-03-01,2027-04-20,In Progress
SH217,P001,SQ009,P001_SEQ090_SH090,Low,113,2027-01-02,2027-03-15,In Progress
SH218,P001,SQ009,P001_SEQ090_SH100,Low,56,2026-12-20,2027-02-13,In Progress
SH219,P001,SQ009,P001_SEQ090_SH110,High,858,2026-12-16,2027-05-01,In Progress
SH220,P001,SQ009,P001_SEQ090_SH120,Low,98,2026-11-30,2027-08-28,In Progress
SH221,P001,SQ009,P001_SEQ090_SH130,Medium,272,2026-09-12,2027-03-06,In Progress
SH222,P001,SQ010,P001_SEQ100_SH010,Low,106,2026-05-12,2026-08-27,In Progress
SH223,P001,SQ010,P001_SEQ100_SH020,Low,118,2026-07-07,2026-10-20,In Progress
SH224,P001,SQ010,P001_SEQ100_SH030,Low,63,2026-07-22,2026-08-07,In Progress
SH225,P001,SQ010,P001_SEQ100_SH040,Medium,285,2026-10-28,2027-03-30,In Progress
SH226,P001,SQ010,P001_SEQ100_SH050,Low,51,2026-08-12,2027-05-20,In Progress
SH227,P001,SQ010,P001_SEQ100_SH060,Low,106,2026-11-04,2027-07-06,In Progress
SH228,P001,SQ010,P001_SEQ100_SH070,Low,117,2026-11-20,2027-04-24,In Progress
SH229,P001,SQ010,P001_SEQ100_SH080,Low,40,2026-06-12,2026-08-17,In Progress
SH230,P001,SQ010,P001_SEQ100_SH090,Low,80,2026-06-30,2026-10-06,In Progress
SH231,P001,SQ010,P001_SEQ100_SH100,Medium,134,2026-12-11,2027-09-01,In Progress
SH232,P001,SQ010,P001_SEQ100_SH110,High,688,2026-11-22,2027-07-11,In Progress
SH233,P001,SQ010,P001_SEQ100_SH120,Medium,240,2026-12-24,2027-07-03,In Progress
SH234,P001,SQ010,P001_SEQ100_SH130,Low,64,2026-12-30,2027-06-19,In Progress
SH235,P001,SQ010,P001_SEQ100_SH140,High,532,2026-12-07,2027-01-19,In Progress
SH236,P001,SQ010,P001_SEQ100_SH150,High,428,2026-09-30,2026-12-10,In Progress
SH237,P001,SQ010,P001_SEQ100_SH160,High,586,2026-08-07,2027-03-12,In Progress
SH238,P001,SQ010,P001_SEQ100_SH170,High,403,2026-11-26,2026-12-27,In Progress
SH239,P001,SQ011,P001_SEQ110_SH010,Low,53,2026-05-02,2026-05-13,Completed
SH240,P001,SQ011,P001_SEQ110_SH020,Low,47,2026-04-10,2026-05-04,Completed
SH241,P001,SQ011,P001_SEQ110_SH030,High,868,2026-04-18,2026-05-10,Completed
SH242,P001,SQ011,P001_SEQ110_SH040,High,740,2026-05-07,2026-06-15,Completed
SH243,P001,SQ011,P001_SEQ110_SH050,Low,57,2026-04-19,2026-05-05,Completed
SH244,P001,SQ011,P001_SEQ110_SH060,High,964,2026-03-31,2026-05-29,Completed
SH245,P001,SQ011,P001_SEQ110_SH070,Medium,151,2026-04-25,2026-05-02,Completed
SH246,P001,SQ011,P001_SEQ110_SH080,Medium,258,2026-04-24,2026-05-29,Completed
SH247,P001,SQ011,P001_SEQ110_SH090,High,979,2026-04-25,2026-06-18,Completed
SH248,P001,SQ011,P001_SEQ110_SH100,Low,89,2026-04-28,2026-05-16,Completed
SH249,P001,SQ011,P001_SEQ110_SH110,Medium,182,2026-04-28,2026-06-19,Completed
SH250,P001,SQ011,P001_SEQ110_SH120,Low,115,2026-04-02,2026-04-15,Completed
SH251,P001,SQ011,P001_SEQ110_SH130,Medium,216,2026-03-30,2026-05-14,Completed
SH252,P001,SQ011,P001_SEQ110_SH140,Low,93,2026-04-27,2026-06-15,Completed
SH253,P001,SQ011,P001_SEQ110_SH150,Medium,291,2026-05-01,2026-05-16,Completed
SH254,P001,SQ011,P001_SEQ110_SH160,Medium,231,2026-04-23,2026-04-28,Completed
SH255,P001,SQ011,P001_SEQ110_SH170,Medium,231,2026-05-03,2026-06-09,Completed
SH256,P001,SQ011,P001_SEQ110_SH180,Low,69,2026-05-07,2026-06-12,Completed
SH257,P001,SQ011,P001_SEQ110_SH190,High,427,2026-04-26,2026-06-14,Completed
SH258,P001,SQ011,P001_SEQ110_SH200,Low,107,2026-04-18,2026-05-05,Completed
SH259,P001,SQ011,P001_SEQ110_SH210,Low,110,2026-04-08,2026-06-09,Completed
SH260,P001,SQ011,P001_SEQ110_SH220,Low,76,2026-04-12,2026-05-10,Completed
SH261,P001,SQ011,P001_SEQ110_SH230,Medium,123,2026-04-11,2026-05-04,Completed
SH262,P001,SQ011,P001_SEQ110_SH240,Low,108,2026-04-20,2026-05-19,Completed
SH263,P001,SQ011,P001_SEQ110_SH250,Low,107,2026-04-10,2026-05-26,Completed
SH264,P001,SQ011,P001_SEQ110_SH260,Low,96,2026-04-06,2026-05-29,Completed
SH265,P001,SQ011,P001_SEQ110_SH270,Low,91,2026-05-04,2026-06-06,Completed
SH266,P001,SQ011,P001_SEQ110_SH280,Low,59,2026-04-07,2026-04-27,Completed
SH267,P001,SQ011,P001_SEQ110_SH290,Medium,206,2026-04-09,2026-06-01,Completed
SH268,P001,SQ011,P001_SEQ110_SH300,Medium,219,2026-04-06,2026-05-30,Completed
SH269,P001,SQ011,P001_SEQ110_SH310,Low,69,2026-03-30,2026-04-23,Completed
SH270,P001,SQ011,P001_SEQ110_SH320,Low,53,2026-04-07,2026-04-14,Completed
SH271,P001,SQ011,P001_SEQ110_SH330,Low,109,2026-04-08,2026-05-04,Completed
SH272,P001,SQ011,P001_SEQ110_SH340,Medium,250,2026-04-22,2026-05-27,Completed
SH273,P001,SQ011,P001_SEQ110_SH350,Medium,136,2026-04-12,2026-06-13,Completed
SH274,P001,SQ011,P001_SEQ110_SH360,High,925,2026-04-22,2026-05-20,Completed
SH275,P001,SQ011,P001_SEQ110_SH370,Low,64,2026-05-05,2026-05-25,Completed
SH276,P001,SQ011,P001_SEQ110_SH380,Medium,267,2026-04-21,2026-06-14,Completed
SH277,P001,SQ011,P001_SEQ110_SH390,High,489,2026-05-05,2026-06-19,Completed
SH278,P001,SQ012,P001_SEQ120_SH010,High,421,2026-11-28,2027-02-03,In Progress
SH279,P001,SQ012,P001_SEQ120_SH020,Medium,182,2027-01-21,2027-03-24,In Progress
SH280,P001,SQ012,P001_SEQ120_SH030,Medium,192,2026-10-05,2027-01-11,In Progress
SH281,P001,SQ012,P001_SEQ120_SH040,High,498,2026-10-30,2027-01-17,In Progress
SH282,P001,SQ012,P001_SEQ120_SH050,Medium,174,2026-11-25,2027-02-17,In Progress
SH283,P001,SQ012,P001_SEQ120_SH060,Medium,247,2027-01-04,2027-01-25,In Progress
SH284,P001,SQ012,P001_SEQ120_SH070,Low,50,2027-02-03,2027-02-18,In Progress
SH285,P001,SQ012,P001_SEQ120_SH080,Medium,160,2026-10-04,2027-04-09,In Progress
